item_id,sku,child_item_id,match_method,total_images,unique_images,shared_with_parent_images
256264332056,MCN-GAMEAACCRA-3PC-SML-CLR-1,v1|256264332056|556291944498,aspect_match,5,0,5
256264332056,MCN-GAMEAACCRA-3PC-SML-CLR-1-2PK,v1|256264332056|556291944499,aspect_match,5,0,5
255457181082,MCN-GASG1OZGRT-1OZT-CLR,v1|255457181082|555412864961,aspect_match,7,0,7
255457181082,MCN-GASG1OZGRT-1OZT-CLR-2PK,v1|255457181082|555412864962,aspect_match,7,0,7
255457181082,MCN-GASG1OZGRT-1OZT-CLR-3PK,v1|255457181082|555412864963,aspect_match,7,0,7
256525915661,SON-GRAPHITECRUCIBLE-2375,v1|256525915661|556749682405,partial_aspect_match,1,1,0
256525915661,SON-UTGCFGM15B15I-15X15-CHRCL,v1|256525915661|556749682406,partial_aspect_match,3,3,0
256525915661,SON-UTGCFGM25B25I-25X25-CHRCL,v1|256525915661|556749682407,partial_aspect_match,3,3,0
256525915661,SON-UTGCFGM25B65I-25X65-CHRCL,v1|256525915661|556749682408,partial_aspect_match,2,2,0
256525915661,SON-UTGCFGM25BI-25X5-CHRCL,v1|256525915661|556749682409,partial_aspect_match,3,3,0
256525915661,SON-UTGCFGM2B2I-2X2-CHRCL,v1|256525915661|556749682410,partial_aspect_match,3,3,0
256495157311,MCN-MTCARTRC-5FT-CLR,v1|256495157311|556683549679,aspect_match,6,0,6
256495157311,MCN-MTCARTRC-5FT-CLR-2PK,v1|256495157311|556683549680,aspect_match,6,0,6
256529646593,MCN-BURIDIVEKNIFE-ORG-HPN-1,v1|256529646593|556756743539,aspect_match,1,1,0
256529646593,MCN-BURIDIVEKNIFE-BLK-HPN-1,v1|256529646593|556756743540,aspect_match,4,4,0
254735959828,MCN-GAAUAS-34OZ-CLR,v1|254735959828|555316272943,aspect_match,1,1,0
254735959828,MCN-GAAUAS-34OZ-CLR-2PK,v1|254735959828|555316272944,aspect_match,1,1,0
254735959828,MCN-MGAA8OZWGRA-8OZ-CLR,v1|254735959828|557651447598,aspect_match,2,2,0
254735968039,MCN-2PK-TTAPE-CLR-HVAR-AMZ,v1|254735968039|555316165083,aspect_match,1,1,0
254735968039,MCN-GATTCRRATP-C-CLR-AMZ,v1|254735968039|555316165084,aspect_match,1,1,0
254735968039,MCN-GATTFRTP-20X3-PLTNM-AMZ,v1|254735968039|555331411023,aspect_match,2,2,0
254735968039,MCN-TTAPE-PLTNM-2PK-HVAR-AMZ,v1|254735968039|555331411024,aspect_match,2,2,0
254735968039,MCN-TTAPE-COYOTE-1PK-10667-EBAY,v1|254735968039|555331411025,aspect_match,2,2,0
254735968039,MCN-TTAPE-OD-GREEN-1PK-10668-EBAY,v1|254735968039|555331411026,aspect_match,2,2,0
254735968039,MCN-TTAPE-COYOTE-1PK-10667-EBAY-2PK,v1|254735968039|555331411027,aspect_match,2,2,0
254735968039,MCN-TTAPE-OD-GREEN-1PK-10668-EBAY-2PK,v1|254735968039|555331411028,aspect_match,2,2,0
254735968039,MCN-TTAPE-20X3-SAGEGRN-AMZ,v1|254735968039|555331439284,aspect_match,2,2,0
254735968039,MCN-TTAPE-SGR-2PK-HPN-AMZ,v1|254735968039|555331439285,aspect_match,2,2,0
254735968039,MCN-GATTFRTB-SML-BLCK-AMZ,v1|254735968039|555331384340,aspect_match,1,1,0
254735968039,MCN-BLCK-TTAPE-2PK-AMZ,v1|254735968039|555331384341,aspect_match,1,1,0
254735968039,MCN-MTCARTR-STD-RD-2-AMZ,v1|254735968039|555331384342,aspect_match,2,2,0
254735968039,MCN-MTCARTY-STD-YLLW-2-AMZ,v1|254735968039|555331384343,aspect_match,2,2,0
254735968039,MCN-TTAPE-ORG-1PK-AMZ,v1|254735968039|555331384344,aspect_match,1,1,0
254735968039,MCN-TTAPE-ORG-2PK-AMZ,v1|254735968039|555331384345,aspect_match,1,1,0
254735968039,MCN-TTAPE-RED-2PK-HPN-AMZ,v1|254735968039|555331384346,aspect_match,2,2,0
254735968039,MCN-YELLOWTTAPE-2PACK-AMZ,v1|254735968039|555331384347,aspect_match,2,2,0
254735978393,MCN-FSABRA-1OZ-CLR,v1|254735978393|555316397185,aspect_match,7,0,7
254735978393,MCN-FSABRA-1OZ-CLR-2PK,v1|254735978393|555316397186,aspect_match,7,0,7
254735978393,MCN-FSABRA-1OZ-CLR-3PK,v1|254735978393|555316397187,aspect_match,7,0,7
256468957823,SON-100FTGNGPR550LBS-100FT-NNGRN,v1|256468957823|556627919288,partial_aspect_match,1,1,0
256468957823,SON-PARACORD-100-7-GREY,v1|256468957823|556627919289,partial_aspect_match,1,1,0
256468957823,SON-PARACORD-100-7-KHAKI,v1|256468957823|556627919290,partial_aspect_match,2,2,0
256468957823,SON-PARACORD-100-7-TAN-CAMO,v1|256468957823|556627919291,partial_aspect_match,2,2,0
256470618745,MCN-REFLTTAPEPATCH-GRY,v1|256470618745|556631798003,aspect_match,7,0,7
256470618745,MCN-REFLTTAPEPATCH-GRY-2PK,v1|256470618745|556631798004,aspect_match,7,0,7
256249413299,MCN-MCFMOOSACGW-MSSYOKOBSSSN-E2,v1|256249413299|556267182545,aspect_match,1,1,0
256249413299,MCN-MTCFKHGW-STD-E2,v1|256249413299|556267182546,aspect_match,2,2,0
256249413299,MCN-MTCFRHDFWMOD-STD-CM-E2,v1|256249413299|556267182547,aspect_match,2,2,0
256249413299,MCN-MTPFWCFWD-STD-E2,v1|256249413299|556267182548,aspect_match,2,2,0
256249413299,MCN-MPCLAWFHAOSE-SML-PNK-2,v1|256249413299|556267182549,aspect_match,2,2,0
256249413299,MCN-MCFSRHDFW-STD-E2,v1|256249413299|556286629598,aspect_match,2,2,0
256249413299,MCN-MTCFRHFWDD-STD-DSRTDGTL-E2,v1|256249413299|556343618168,aspect_match,2,2,0
256249413299,MCN-MCFMCWRHDFW-STD-CM-E2,v1|256249413299|556394046034,aspect_match,2,2,0
