item_id,sku,aspect,varied_by,before,after
256525915552,UPD-INCRED-2-STATIONERY-9PC,Item Length,,10.75,10.75 in
256525915552,UPD-INCRED-2-STATIONERY-9PC,Item Width,,6,6 in
256525915570,ASR-ASROUTDOORBLACKSTRETCH,Item Weight,,3.82,3.82 lb
256525915648,SON-UDRTASSPC-228PC-MTL,Item Weight,,1.3,1.3 lb
256525915652,FLL-HNHSTBAT,Item Weight,,0.1,0.1 lb
256525915657,SON-TDFS-10PC-55L-SLVR,Item Weight,,0.25,0.25 lb
256525915660,SON-DHCSDBS-6PC,Item Weight,,0.3,0.3 lb
256525915669,COLLAPSIBLE-WATER-CARRIER-5-GALLON,Item Weight,,0.7,0.7 lb
256525915678,MCNETT-MICROTERRY-TOWEL-4009-BUN-1,Item Weight,,0.7,0.7 lb
256525915688,SON-AOMDBWSB-17X125-BLCK,Item Weight,,0.15,0.15 lb
256525915695,SON-PARACORDBRACELETKIT-1OPC,Item Weight,,0.67,0.67 lb
256525915696,SON-UTPSCRASIWB-LG-TN,Item Weight,,1.18,1.18 lb
256525915705,SON-HDLHPS-6PC-C-SLVR,Item Length,,9,9 in
256525915705,SON-HDLHPS-6PC-C-SLVR,Item Width,,6,6 in
256525915714,SON-MULTI-COLOR-HEADLAMP-FL8219-5,Item Weight,,0.13,0.13 lb
256525915724,UNV-UHAOUKK-BUN-6PK-S-ASSRTD,Item Weight,,0.55,0.55 lb
256525915731,SON-DIAMONDHOLESAW-80GRT,Item Height,,2,2 in
256525915731,SON-DIAMONDHOLESAW-80GRT,Item Length,,4.5,4.5 in
256525915731,SON-DIAMONDHOLESAW-80GRT,Item Weight,,0.72,0.72 lb
256525915731,SON-DIAMONDHOLESAW-80GRT,Item Width,,2.75,2.75 in
256525915734,ASR-ASROUTDOORGREENGLOW,Item Weight,,0.3,0.3 lb
256525915735,NPT-ASTKUNAI-6PC,Blade Length,,6.5 Inch,6.5 in
256525915737,SON-HSSSBAM-2PC-SLVR,Item Weight,,0.1,0.1 lb
256525915747,SON-POCKETKNIFE-BLK,Item Weight,,0.2,0.2 lb
256525915747,SON-POCKETKNIFE-BLK,Overall Length,,6.5,6.5 in
256525915757,SON-WRRFSDE175MM-10PC-SML-SLVR,Item Weight,,0.24,0.24 lb
256525915782,SON-OEHWPASBC-2,Item Weight,,0.3,0.3 lb
256525915800,NPT-8INPOCKETKNIFE-EAG,Overall Length,,8 Inch,8 in
256525915802,SON-JEWELERSSAWBLADES04-144PK,Item Height,,1,1 in
256525915802,SON-JEWELERSSAWBLADES04-144PK,Item Length,,7,7 in
256525915802,SON-JEWELERSSAWBLADES04-144PK,Item Weight,,0.1,0.1 lb
256525915802,SON-JEWELERSSAWBLADES04-144PK,Item Width,,2,2 in
256525915806,NPT-EMSPOCKETKNIFE-ORG,Item Weight,,0.26,0.26 lb
256525915806,NPT-EMSPOCKETKNIFE-ORG,Overall Length,,8.4,8.4 in
256525915808,SON-SFKFHSS-P-GRY,Item Weight,,0.1,0.1 lb
256525915818,SON-53HSSDB116IS-10PC-5316-SLVR,Item Weight,,0.05,0.05 lb
256525915822,SON-BFTOU-MED-BLCK,Item Weight,,0.2,0.2 lb
256525915826,SON-LSTTSWC1210A8I-4PC-14X4X25-SLVR,Item Weight,,0.43,0.43 lb
256525915827,SON-EXTEND-FLYSWATTER-ASSRT,Item Weight,,0.06,0.06 lb
256525915831,HWK-TBPHDPSLFHAN-9P-PNK,Item Weight,,0.86,0.86 lb
256525915849,NPT-HDCAHWSB-2PC-STD-BLCK,Item Weight,,1.5,1.5 lb
256525915851,SON-EXTEND-FLYSWATTER-RED,Item Weight,,0.06,0.06 lb
256525915855,SON-57HSSDB116IS-10PC-5716-SLVR,Item Weight,,0.05,0.05 lb
256525915860,SON-BLACKSTRETCHBALLS-100PK-8IN,Item Weight,,1.02,1.02 lb
256525915863,SON-AO155IMWSAH-155-BLCK-WSH,Blade Length,,15.5 Inch,15.5 in
256525915863,SON-AO155IMWSAH-155-BLCK-WSH,Item Weight,,0.8,0.8 lb
256525915863,SON-AO155IMWSAH-155-BLCK-WSH,Overall Length,,16,16 in
256525915865,SON-ZAPPER-MP-4BL,Item Weight,,0.62,0.62 lb
256525915880,SON-PWCCS-13PC-STD-BLCK,Item Weight,,2,2 lb
256525915882,SON-NECKKNIFE-BLU,Blade Length,,4 Inch,4 in
256525915894,ASR-ETB84X-BUN-24PK-84X52-SLVR,Item Weight,,2.4,2.4 lb
256525915897,SON-RSSWMB-16PC-65X5X5E-2,Item Weight,,0.29,0.29 lb
256525915902,SON-SSMFUPKWCP-2PC,Item Weight,,0.26,0.26 lb
256525915902,SON-SSMFUPKWCP-2PC,Overall Length,,6,6 in
256525915928,SON-STONEHAMMER-10IN-HPNR,Item Weight,,1.98,1.98 lb
256526374819,ASR-GRIPREDKEEPSPORTING,Size,,6.5 Inch,6.5 in
256529646593,MCN-BURIDIVEKNIFE-PARENT,Blade Length,,3 Inch,3 in
256529646593,MCN-BURIDIVEKNIFE-PARENT,Item Weight,,0.4,0.4 lb
256529646593,MCN-BURIDIVEKNIFE-PARENT,Overall Length,,9,9 in
256546386816,SHM-UV9LF-SML-BLCK,Item Weight,,0.3,0.3 lb
256546395553,SON-MEBH-10PC-SML-SLVR,Item Weight,,0.5,0.5 lb
257018082936,SON-AORUBZ500FR-11-BLCK,Item Length,,8.25,8.25 in
257018082936,SON-AORUBZ500FR-11-BLCK,Item Weight,,2.2,2.2 lb
