item_id,position,url,width,height,host,is_eps
256508244478,3,https://i.ebayimg.com/images/g/HW0AAOSwZlZmPxcL/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244478,4,https://i.ebayimg.com/images/g/8rwAAOSwdN5mPxcL/s-l1600.jpg,1029,1029,i.ebayimg.com,yes
256508244481,0,https://i.ebayimg.com/images/g/XF4AAOSw4j5mPxbF/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244481,1,https://i.ebayimg.com/images/g/ANUAAOSwajJmPxbG/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244481,2,https://i.ebayimg.com/images/g/~8EAAOSwkMRmPxbG/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244481,3,https://i.ebayimg.com/images/g/oIUAAOSwsctmPxbG/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244481,4,https://i.ebayimg.com/images/g/oXcAAOSwq5JmPxbG/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,0,https://i.ebayimg.com/images/g/5F0AAOSwcaRmPxY7/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,1,https://i.ebayimg.com/images/g/f8oAAOSwHGFmPxY6/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,2,https://i.ebayimg.com/images/g/wtQAAOSwd9dmPxY6/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,3,https://i.ebayimg.com/images/g/L90AAOSwxShmPxY7/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,4,https://i.ebayimg.com/images/g/G58AAOSwngpmPxY6/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,5,https://i.ebayimg.com/images/g/MzYAAOSwX3BmPxY7/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,6,https://i.ebayimg.com/images/g/alQAAOSwuotmPxY7/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,7,https://i.ebayimg.com/images/g/PokAAOSwEURmPxY7/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244500,8,https://i.ebayimg.com/images/g/MzgAAOSwX3BmPxY7/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
