item_id,sku,varied_by,title,upc,ean,isbn,gtin,missing_gtin,custom_upc_specific,upc_duplicated
256510041675,SON-7IN1SURVIVALWHISTLE-ODGRN,,"7 in 1 Survival Whistle Multi-Case with LED Flashlight Compass Mirror - Green",706569064766,,,706569064766,,,
256510041680,MCN-GARNASFWAWK-KIT-PARENT,,"GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Protector Spray",,,,,YES,,
256510041680,MCN-GARNASFWAWK-SPECIAL-2PK-TAG,Style,"GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Protector Spray",021563367003,,,021563367003,,,
256510041680,MCN-GARNASFWAWK-KIT-SPECIAL-TAG,Style,"GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Protector Spray",021563367706,,,021563367706,,,
256510041695,SON-ACIDBRUSHSET-12PC1,,"SE AB12 Acid Brush Set, 1/2""",706569121209,,,706569121209,,,
256510041696,NPT-ASRO-9IN1SURVIVALKNIFE-BLK,,"ASR Outdoor 9 in 1 Multitool Folding Pocket Knife with G10 Handle, Black",810058482938,,,810058482938,,,
256510041697,MCN-GASSRASS-2OZ,,"GEAR AID Seam Grip FC Fast Cure Sealant for Tents, Clear, 2 fl oz",021563106015,,,021563106015,,,
256510041710,SHM-KIDFUN-REFLECTIONPAPER,,"32 Sheet Disappearing Notebook Dissolving Message Note Pad - Reflection Paper",032281614645,,,032281614645,,,
256510041712,MET-GEARAIDREVIVEXSPRAY-AMZN,,"GEAR AID Revivex Suede Protector, Water Repellent for Shoe, Boots, 4 fl oz, 2pk",215631917294,,,215631917294,,,
256510041714,SON-ANGULAR-SCISSORS,,"Embroidery Shears Sewing Tailors Sharp Scissors Craft and Hobby Kelly Angular",706569017229,,,706569017229,,,
256510041719,SON-16FTHVMRNG-16F-NNGRN,,"16ft High Visibility Marking Ribbon PVC Material Outdoor Layout - Neon Green",883166841027,,,883166841027,,,
256510041721,SON-SPORTS-BELT-8INCH,,"Sports Belt 8 Inch Expanding Pocket Black Reflective Strips Running Hiking",706569089875,,,706569089875,,,
256510041723,SON-AO85IGPSSFGP-LG-GRN-HPNR,,"ASR Outdoor ASRO85GSS-359 Sand Scoop for Metal Detecting",0074994346185,,,0074994346185,,,
256510041735,LST-KARAOKE-KEYBOARD-A57,,"KidPlay Karaoke Keyboard - Blue",688999000579,,,688999000579,,,
256510041750,SON-AOBRGFGP-2PC-ONE-BLCK-HPNR,,"SE GP3-RG60 Prospector's Choice Gold Panning Rubber Gloves",,,,,YES,,
256510041753,MCN-MMESQAS12O-12OZ-PARENT,,"GEAR AID Anti-Fog Spray for All Goggles, Masks and Eyewear, 0.5 fl oz",,,,,YES,,
256510041753,MCN-MMESQAS12O-12OZ-CLR,Style,"GEAR AID Anti-Fog Spray for All Goggles, Masks and Eyewear, 0.5 fl oz",021563401011,,,021563401011,,,
256510041753,MCN-MMESQAS12O-12OZ-CLR-2PK,Style,"GEAR AID Anti-Fog Spray for All Goggles, Masks and Eyewear, 0.5 fl oz",215631211576,,,215631211576,,,
256510041759,SON-POCKETSLUICEBOX-GRN-AMZ-HPN,,"SE Prospector’s Choice Pocket Sized Sluice Box - GP-SB36PT",,,,,YES,,
256510041765,MCN-MRLBCCC-4OZ,,"GEAR AID Revivex Boot, Shoe Cleaner, Leather Suede Fabric, Concentrated, 4 fl oz",021563362503,,,021563362503,,,
256510041773,SON-STEELDIGGER-GRN-AMZ-HPN,,"Metal Detector 12"" Serrated Edge Digger, Garden Weed Lawn Mower Tool",,,,,YES,,
256510041789,MCN-WINCHBUCKLE-PARENT,,"GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black",,,,,YES,,
256510041789,MCN-GAHBWBK1INCH-2PC-15-BLCK-AMZN,Style,"GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black",021563804201,,,021563804201,,,
256510041789,MCN-WINCHBUCKLE-1INCH-HPNR,Style,"GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black",021563804102,,,021563804102,,,
256510041808,DLX-NAILFILES-18PC,,"Home Essentials Nail Files Buffers Emery Boards Beauty Tools Set Mani Pedi 18pc",855569002404,,,855569002404,,,
256510047585,SON-PHONESTAND-FL89026TL,,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",060886114291,,,060886114291,,,
256510047588,SON-WAISTTRAVELBELT-BLK,,"Water Resistant Storage Belt Waist Travel Pouch Adjustable Buckle",706569089530,,,706569089530,,,
256510047589,DEL-EXFOLBATHMITT-WHITE,,"Exfoliating Bath Mitt Shower Loofah Accessory - White",060886950639,,,060886950639,,,
256510047590,SON-GUNCLEANKIT-24PC,,"24 Piece set ASR Outdoor Gun Cleaning Kit Brass Punches Brushes and Patches",855569007218,,,855569007218,,,
256510047592,MCN-MGARBS-4O-CLR,,"GEAR AID Revivex Rubber Boot Treatment and Neoprene Protector, 4 fl oz",021563226003,,,021563226003,,,
256510047593,SON-GRAYDUCTTAPE-30FT,,"Gray Duct Tape 2 Inch Wide High Quality Adhesive Gear - 30ft Roll",706569092448,,,706569092448,,,
256510047596,MCN-GARVXPCDWP-BNDL-AMZ,,"GEAR AID Care Kit with Revivex Pro Cleaner and Durable Water Repellent Spray",021563368031,,,021563368031,,,
256510047597,MCN-SEAM-SEALANT-SILNYLON-PATCHES-BUN,,"Seam Grip SIL Silicone Sealant and Silnylon Patches for Silnylon Tents and Tarps",021563104417,,,021563104417,,,
256510047607,SON-PISTOLKIT-66PC,,"ASR Outdoor 66pc Pistol Cleaning Kit In Zippered Shell Case",855569000790,,,855569000790,,,
256510047608,MCN-DOWNCLEANER-GALLON,,"GEAR AID Revivex Down Cleaner and Wash for Jackets and Sleeping Bags, 1 Gallon",021563361964,,,021563361964,,,
256510047609,HAWK-SLFHEALMAT-GR,,"Universal Hobby Cutting Mat 5""x9"" Self-Repairing - Green","Does not apply",,,"Does not apply",,,
256510047611,SON-FIRSTAIDKIT-100PC,,"100 PC Emergency Waterproof First Aid Dry Sack Kit Camping Outdoors",706569096705,,,706569096705,,,
256510047616,MCN-GARVXPCDWEMRP-BNDL-AMZ,,"GEAR AID Care Kit with Pro Cleaner,Water Repellent Spray and Mini Patches",021563368055,,,021563368055,,,
256510047618,SON-HTSSS-5PC-SML-GRY,,"Universal 5pc Hobby Tweezer Set Stainless Steel",706569240580,,,706569240580,,,
256510047619,MCN-MGAZP-2E-BLCK,,"GEAR AID Zipper Pulls, Backpack Bag Repair, Set of 2",021563806205,,,021563806205,,,
256510047623,SON-GUNCLMAT-18IN,,"American Flag Non-Slip Gun and Electronics Cleaning Mat Washable 18 Inch",855569005962,,,855569005962,,,
256510047624,SON-POLISHINGWHEEL-2IN,,"Universal Tool Cloth Polishing Buff Wheel 2 Inch Diameter Soft Muslin",060886426516,,,060886426516,,,
256510047628,MCN-STRAP-TENDER-AMZN,,"GEAR AID Strap Tender for 1"" Webbing",021563806403,,,021563806403,,,
256510047646,MCN-MESENTL-SEADROP-PARENT,,"GEAR AID Sea Drops Anti-fog and Cleaner for Dive and Snorkel Masks, 1.25 fl oz",,,,,YES,,
