product_id,handle,product_title,status,variant_id,variant_title,sku,current_barcode,gtin_state
8521788588332,2-inch-precious-metal-testing-stone-for-gold-panning,"2 Inch Natural Testing Stone Prospecting Tools, Black",ACTIVE,46059823628588,"Default Title",SON-AOPMTSFGP-SML-GRY,060886031550,has
8521825714476,19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick,"19pc Ultimate Gold Panning Kit with Classifier Screens, Gold Pans, Rock Pick",ACTIVE,46060090720556,"Default Title",DOY-PANNINGMATERIALS-KIT,608866851868,has
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,46060238831916,"12"" x 36"" / Green",SON-12X36IGMMSBM-12X36-SM-GRN,635204396033,has
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,46060238864684,"12"" x 36"" / Blue",SON-12X36IBMMSBM-12X36-SM-BL,693475460860,has
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,46060238897452,"12"" x 36"" / Grey",SON-12X36IGMMSBM-12X36-GRY-SM-2,787757024328,has
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,46060238930220,"24"" x 36"" / Green",SON-24X36IGMMSBM-24X36-MED-GRN,715238361846,has
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,46060238962988,"24"" x 36"" / Blue",SON-24X36IBMMSBM-24X36-MED-BL,768602490451,has
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",ACTIVE,46060238995756,"24"" x 36"" / Grey",SON-24X36IGMMSBM-24X36-MED-GRY,875393501126,has
8521873916204,aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",ACTIVE,46060313870636,"Default Title",SON-RUBBER-SLUICEBOX-RIFFLES,810058482419,has
8521901801772,metal-detector-2-in-1-plastic-black-scoop-with-steel-probe,"2 in 1 Metal Detector Sand Scoop with Built-in Steel Probe, Black",ACTIVE,46060370493740,"Default Title",SON-PROBESCOOP-BLK,810058480286,has
8521944531244,22pc-complete-finishing-gold-panning-kit-with-rock-pick-hammer-green,"22pc Complete Finishing Gold Panning Kit with Rock Pick Hammer, Green",ACTIVE,46060515623212,"Default Title",ASR-AOUGPK-BUN-A-GRN-BNDL,839517212404,has
8521946104108,27-compact-aluminum-sluice-box-with-flared-mouth-gold-prospecting,"27 Inch Compact Aluminum Sluice Box with Flared Mouth Gold Prospecting Equipment",ACTIVE,46060520210732,"Default Title",SON-ASRO-FIXEDSLUICE-27INCH,810131701307,has
8521959866668,green-heavy-duty-plastic-gold-rush-gold-panning-hand-scoop-trowel,"Green Gold Rush Lightweight Hand Scoop Trowel Gold Prospecting Equipment",ACTIVE,46060656329004,"Default Title",SON-FEEDSCOOP-GRN-GP3-SS21,810058488879,has
8521967042860,gold-prospecting-black-sand-5lb-magnetic-steel-pocket-separator-pen,"5lbs Magnetic Black Sand Steel Pocket Separator Pen Pick Up Tool",ACTIVE,46060735758636,"Default Title",SON-PICKUPPEN-5LB,810058486875,has
8521979887916,gold-mining-compact-magnetic-prospectors-pick-axe,"Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver",ACTIVE,46060876529964,"Default Title",SON-PROSPECTORS-PICK-GP-PK151,060886844655,has
8521988899116,gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,"12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green",ACTIVE,46060978405676,"Default Title",SON-RIFFLESCOOP-GRN,810058482860,has
8522010329388,sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc,"21pc Folding 50 Inch Aluminum Sluice Box Gold Panning Kit with Gold Recovery Prospecting Tools",ACTIVE,46061199294764,"Default Title",SON-DLXSLUICEKIT-2020-2-BUN,855569004828,has
8522103718188,21pc-testing-and-finishing-gold-panning-kit-with-tool-box,"21pc Testing and Finishing Gold Panning Kit with Tool Box",ACTIVE,46062257701164,"Default Title",DOY-TOOLSPERFECTOTHER-KIT,706569870091,has
8522154967340,10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,"10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,46062879932716,"Without Stand",SON-COLLAPSBUCKET-10L-OD-CB10L,810058486134,has
8522216636716,3-5-or-5-gallon-white-heavy-duty-bucket-with-handle-gold-prospecting-equipment,"3.5 or 5 Gallon White Heavy Duty Bucket with Handle Gold Prospecting Equipment",ACTIVE,46063004778796,"3.5 Gallon",DOY-ASRO-35GALLONBUCKET-WHITE,810131799137,has
8522216636716,3-5-or-5-gallon-white-heavy-duty-bucket-with-handle-gold-prospecting-equipment,"3.5 or 5 Gallon White Heavy Duty Bucket with Handle Gold Prospecting Equipment",ACTIVE,46063004877100,"5 Gallon",DOY-ASRO-5GALLONBUCKET-WHITE,810131775773,has
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)",ACTIVE,46075476541740,"1 Pack",SON-AOC4OGSSB-4OZ-CLR,618991515115,has
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)",ACTIVE,46075476574508,"2 Pack",ASR-AC4OGSSB-BUN-2PK-4OZ-CLR,640975639340,has
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)",ACTIVE,46075476607276,"4 Pack",ASR-AC4OGSSB-BUN-4PK-4OZ-CLR,810131730512,has
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)",ACTIVE,47839362285868,"10 Pack",UNV-ASROUTDOORCOMPACTGOLD-7,752933707975,has
8525173948716,16pc-traditional-sluice-box-finishg-gold-panning-kit-with-classifier-screens-2-styles,"16pc Traditional Sluice Box Finishing Gold Panning Kit with Classifier Screens, Green",ACTIVE,46075730723116,"Default Title",SON-SLUICEBOXKIT-16PC,060886060048,has
8571037516076,38pc-deluxe-geology-rock-hounding-kit-with-mining-tools-and-musette-carry-bag,"40pc Deluxe Geology Rock Hounding Kit with Mining Tools and Musette Tool Bag",ACTIVE,46340191846700,"Default Title",DOY-GEOKIT-MUSS-BAG-KIT,810058480927,has
8571177402668,3-in-1-black-trifold-steel-multipurpose-serrated-shovel-pick-and-saw-with-storage-case-22-inch,"3 in 1 Black Trifold Steel Multipurpose Serrated Shovel Pick and Saw with Storage Case, 22 Inch",ACTIVE,46341437784364,"Default Title",SON-AOTFSSMFOU23I-23-BLCK,706569185522,has
8571261387052,hrc-steel-shovel-with-knurled-wooden-handle-gold-prospecting-equipment-28-25-inch,"HRC Steel Shovel with Knurled Wooden Handle Gold Prospecting Equipment, 28.25 Inch",ACTIVE,46342194430252,"Default Title",SON-GP45SHOVEL-BLK,810131703332,has
8571326300460,magnifying-tweezer-and-glass-collection-vials-set-gold-panning-accessories-5pc,"Magnifying Tweezer and Glass Collection Vials Set Gold Panning Accessories, 5pc",ACTIVE,46342350537004,"Default Title",SON-ASRGOLDRUSHTWEEZVIAL-BUN,060886414391,has
