product_id,handle,product_title,product_type,variant_id,variant_title,sku,amazon upc,usurper upc,usurper:amazon_upc,BEST UPC,created via CA
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes),Gold Panning,47839362285868,10 Pack,UNV-ASROUTDOORCOMPACTGOLD-7,!not on amz!,752933707975,541123320052,752933707975,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031488917804,Classic Eagle,NPT-135CKWESAH-135-WHT,!not on amz!,754535801402,,754535801402,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031489081644,Dragon,NPT-135CKWDSAH-135-WSH,!not on amz!,766359507866,60886993582,766359507866,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797082042668,Orange / 10 Pack,SON-TENTPEGS-ORANGE-10PK,810058023063,810058412904,810058023063,810058023063,
9512966947116,3-in-1-waterproof-match-stick-storage-container-with-fire-starter-and-signal-mirror,"3-in-1 Waterproof Match Container – Fire Starter Flint, Signal Mirror & Dry Storage Capsule (2 Colors)",Survival/Camping,51582223057196,Green,SON-MATCH-CONTAINER-3-IN-1-GREEN,810058023094,60886960553,810058023094,810058023094,
9983056183596,asr-outdoor-200ft-high-visibility-trail-marking-ribbon-backpacking-safety-hiking-gear-in-assorted-colors,"200ft High Visibility Marking Ribbon, Flagging Tape Backpacking Safety Hiking Gear (Assorted Colors)",Survival/Camping,51582206640428,Bright Red,SON-16FT-TRAILRIBBON-ESF2036-RED,!not on amz!,810058157058,,810058157058,
9983056183596,asr-outdoor-200ft-high-visibility-trail-marking-ribbon-backpacking-safety-hiking-gear-in-assorted-colors,"200ft High Visibility Marking Ribbon, Flagging Tape Backpacking Safety Hiking Gear (Assorted Colors)",Survival/Camping,51582206771500,Neon Pink,SON-16FT-TRAILRIBBON-ESF2036-PINK,!not on amz!,810058228666,,810058228666,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797082140972,Green / 6 Pack,UNI-TENTPEGS-GREEN-6PK,810058302830,810058030191,810058302830,810058302830,
9983056183596,asr-outdoor-200ft-high-visibility-trail-marking-ribbon-backpacking-safety-hiking-gear-in-assorted-colors,"200ft High Visibility Marking Ribbon, Flagging Tape Backpacking Safety Hiking Gear (Assorted Colors)",Survival/Camping,51582206705964,Neon Yellow,SON-16FT-TRAILRIBBON-ESF2036-NEONYELLW,!not on amz!,810058306692,,810058306692,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797082272044,Glow in the Dark / 6 Pack,UNI-TENTPEGS-GLOW-6PK,810058371959,810058371959,,810058371959,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797082337580,Glow in the Dark / 20 Pack,SON-GLOWSTAKE-20PC,!not on amz!,810058412904,,810058412904,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031488753964,American Flag Proud Eagle,NPT-HUNTKNF-PRDEAG-AOVAR,810058480064,810058480064,810058480064,810058480064,
8521725116716,7pc-classic-field-gold-panning-kit-with-dual-riffle-gold-pans-2-colors,7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors),Gold Panning,46059353669932,Black,SON-BLKGKIT2020-7PC,810058480637,810058489593,810058480637,810058480637,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031488786732,American Flag Howling Wolf,NPT-HUNTKNF-AMWOLFHOW-AOVAR,810058480644,810058480644,810058480644,810058480644,
10253903167788,natural-citronella-mosquito-repellent-bracelet-wrist-band-4-colors,Natural Citronella Mosquito Repellent Bracelet Wrist Band (4 Colors),Survival/Camping,52750554792236,Yellow,KOL-BUGBRACELET-HZ110-YLW,!not on amz!,810058480880,810058480880,810058480880,
9516465619244,southwest-navajo-style-mens-socks-1-pair-assorted-colors-one-size-fits-most,"Southwest Navajo Style Mens Socks, 1 Pair, Assorted Colors, One Size Fits Most",Survival/Camping,51582212538668,Navajo Black,SVT-SOUTHWESTSOCKS-0113-BLK,810058481108,810058481108,,810058481108,
10165489860908,10-inch-triple-riffle-gold-pan-gold-prospecting-equipment-green,"10 Inch Triple Riffle Gold Pan Gold Prospecting Equipment, Green",Gold Panning,52434451431724,Default Title,SON-AO10ITRIPRIFF-10-GRN,!not on amz!,810058481948,,810058481948,
10006929572140,asr-outdoor-clear-pocket-portable-travel-gold-panning-kit-for-prospecting-11pc,10pc Fine Gold Recovery Pocket Prospecting Kit in Clear Waterproof Container,Gold Panning,51209301295404,Default Title,SON-POCKETGOLDKIT-11PC2,!not on amz!,810058482112,810058482112,810058482112,
8461244793132,asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic),Gold Panning,46029636403500,Aluminum Folding Sluice Box,SON-SLUICEBOXSET-7PC-BUNDLE-ALUM,810058482204,810058482204,,810058482204,
8521873916204,aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",Gold Panning,46060313870636,Default Title,SON-RUBBER-SLUICEBOX-RIFFLES,810058482419,810058482419,810058482419,810058482419,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",Gold Panning,47421057630508,3oz,DOY-GOLDPAYDIRT-3OZ,!not on amz!,810058482532,810058482532,810058482532,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",Gold Panning,48944173252908,1lb,DOY-GOLDPAYDIRT-1LB,!not on amz!,0,810058482532,810058482532,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",Gold Panning,47421057827116,3lb,DOY-GOLDPAYDIRT-3LBS,!not on amz!,0,810058482532,810058482532,
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",Gold Panning,47421057859884,10lb,DOY-GOLDPAYDIRT-10LBS,!not on amz!,0,810058482532,810058482532,
8521988899116,gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,"12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green",Gold Panning,46060978405676,Default Title,SON-RIFFLESCOOP-GRN,!not on amz!,810058482860,,810058482860,
10253903167788,natural-citronella-mosquito-repellent-bracelet-wrist-band-4-colors,Natural Citronella Mosquito Repellent Bracelet Wrist Band (4 Colors),Survival/Camping,52750554825004,Red,KOL-BUGBRACELET-HZ110-RED,!not on amz!,810058483027,810058483027,810058483027,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031488819500,American Flag Liberty Eagle,NPT-HUNTKNF-LIBEAG-AOVAR,810058484185,810058484185,810058484185,810058484185,
10253903167788,natural-citronella-mosquito-repellent-bracelet-wrist-band-4-colors,Natural Citronella Mosquito Repellent Bracelet Wrist Band (4 Colors),Survival/Camping,52750554759468,Green,KOL-BUGBRACELET-HZ110-GRN,!not on amz!,810058484826,810058484826,810058484826,
8491384897836,asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors),Gold Panning,45905790533932,Blue,SON-7PCKIDSGOLDKIT-BLU-BUN,810058485038,810058485038,810058485038,810058485038,
9516421677356,9-inch-aircraft-grade-aluminum-camping-stakes-tent-pegs,9 Inch Aircraft Grade Aluminum Camping Stakes Tent Pegs,Survival/Camping,49370322108716,12-Pack,SON-ALUMTENTSTAKERD-915ATP-12PK-BUN,810058485106,810058485106,810058485106,810058485106,
9516465619244,southwest-navajo-style-mens-socks-1-pair-assorted-colors-one-size-fits-most,"Southwest Navajo Style Mens Socks, 1 Pair, Assorted Colors, One Size Fits Most",Survival/Camping,51582212604204,Navajo Burgundy,SVT-SOUTHWESTSOCKS-0113-RED,810058485113,810058485113,,810058485113,
