handle,title,has_hosted_video,has_external_video,has_videoobject_markup,hosted_video_url,hosted_preview,hosted_duration_ms,external_host,external_url,video_alt,url
13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag",0,1,,,,,YOUTUBE,https://youtu.be/3N-gFD2G-jQ,,https://asroutdoor.com/products/13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag
3pc-collapsible-camping-lantern-assorted-colors,"3pc Collapsible Camping Lantern, Assorted Colors",1,0,,https://cdn.shopify.com/videos/c/vp/4bc40285560e49319acfcd214d2c4bff/4bc40285560e49319acfcd214d2c4bff.HD-1080p-7.2Mbps-32329759.mp4,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/preview_images/4bc40285560e49319acfcd214d2c4bff.thumbnail.0000000000.jpg?v=1721944536,12610,,,,https://asroutdoor.com/products/3pc-collapsible-camping-lantern-assorted-colors
12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes,"12pc Break Your Own Geodes Kit with Sledge Hammer and Safety Goggles (Assorted Size Geodes)",0,1,,,,,YOUTUBE,https://youtu.be/KLobXEEdf1Q,,https://asroutdoor.com/products/12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes
5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit,"5LB Genuine Rough Gemstone Paydirt Bags, Rocks and Minerals Collection, Sift, Sort and Find Treasure",0,1,,,,,YOUTUBE,https://youtu.be/t9Fc9uBs24Y,,https://asroutdoor.com/products/5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit
5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",0,1,,,,,YOUTUBE,https://youtu.be/t9Fc9uBs24Y,,https://asroutdoor.com/products/5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc
first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc,"First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc",0,1,,,,,YOUTUBE,https://youtu.be/O_ithEcabnU,,https://asroutdoor.com/products/first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc
asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit
asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc
asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors
asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors
asr-outdoor-gold-panning-paydirt-1lb-advanced-bag-gold-prospecting-concentrate-flakes-green-or-black,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-gold-panning-paydirt-1lb-advanced-bag-gold-prospecting-concentrate-flakes-green-or-black
asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)",0,0,,,,,,,,https://asroutdoor.com/products/gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes
asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors
gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers",0,0,,,,,,,,https://asroutdoor.com/products/gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle
asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,"14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)",0,0,,,,,,,,https://asroutdoor.com/products/5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment
