product_id,product_handle,product_title,skus
8517589303596,14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,"14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)","SON-ASRO-GOLDPAN-14GRN-PZ | SON-ASRO-GOLDPAN-14BLK"
9513212182828,stainless-steel-multi-tool-edc-utility-17-function-pocket-knife-with-carry-pouch,"14 in 1 Stainless Steel ECD Utility Multitool Pocket Knife with Carry Pouch",SON-SSMULTITOOL-WPOUCH-KC5011SP
8495198667052,asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,"14pc Backpack Gold Panning Kit with Mini Sluice Boxes (2 Styles)","SON-TRAVELGLDPNGKIT-14PC-RUBBER | SON-TRAVELGLDPNGKIT-GREEN-14PC-BUN"
8521749922092,14pc-finishing-gold-prospecting-equipment-gold-panning-kit-black,"14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black",DOY-BLACKPANESSENTIALGEMS-KIT-WSH
8791674552620,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)","SON-SIFTCLASSKIT-14PC-BUN | SON-14INCHSIFTCLASSKIT-14PC-BUN | SON-18INCHSIFTCLASSKIT-14PC-BUN"
9994170827052,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,"14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors)","SON-ASRO-REMOTERUCKSACKGPKIT-14PC-BLK | SON-ASRO-REMOTERUCKSACKGPKIT-14PC-GRN | SON-ASRO-REMOTERUCKSACKGPKIT-14PC-KHK"
8493678985516,15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","ASR-15PC-3LB-PAYDIRT-ALUMINUM | ASR-15PC-3LB-PAYDIRT-RUBBER"
9892955554092,21l-everyday-carry-small-duffel-bag-for-travel-gym-outdoor-gear-black,"16 Inch Everyday Carry Travel Tool or Duffel Bag, Black",HWK-TTX-DUFFELBAG-16IN-BLK
8502535192876,asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag,"16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag",DOY-BASIC-GEOKIT-BUN
10003820839212,17pc-gold-prospecting-equipment-essentials-field-kit-with-classifier-screens,"16pc Gold Prospecting Equipment Essentials Field Kit with Classifier Screens",SON-ASRO-GPESSENTIALSKIT-17PC
8525173948716,16pc-traditional-sluice-box-finishg-gold-panning-kit-with-classifier-screens-2-styles,"16pc Traditional Sluice Box Finishing Gold Panning Kit with Classifier Screens, Green",SON-SLUICEBOXKIT-16PC
8493540180268,asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)","DOY-10LBSBBPAYDIRTKIT-17PC-KH | DOY-10LBSBBPAYDIRTKIT-17PC-GRN | DOY-10LBSBBPAYDIRTKIT-17PC-BLK"
10253919387948,19l-griptape-backpack-dual-zip-two-tone-navy-od-green-travel-bag,"19L Everyday Front Griptape Backpack with Padded Shoulder Straps, Green/Blue",EVR-GRIPTAPEBP-ODGRNNVY
