needs,product_title,variant,sku,current_gtin,current_mpn,MPN (fill in),UPC (fill in),correct GTIN-14,correct GTIN-13,handle,product_id,variant_id
2-VERIFY MPN (looks auto-generated),3 Inch Locking Aluminum Carabiner Clip EDC Camping Hiking Gear (Assorted Colors),Silver,SON-ASRO-LOCKCARABINERS-SLV-STD,810131706159,ASRO-KDXJL7R2,ASRO-KDXJL7R2,810131706159,00810131706159,0810131706159,asr-outdoor-3-inch-locking-aluminum-carabiner-clip-edc-camping-hiking-gear-assorted-colors,10069742944556,51822971224364
2-VERIFY MPN (looks auto-generated),"3000 Lumen 5-Stage Rechargeable Flashlight with Adjustable Beam and SOS Mode Camping Gear, 7.5 Inches",Default Title,SON-ASRO-3000LUMENFLASHLIGHT-BUN,810131770976,ASRO-P2NOQGK8,ASRO-P2NOQGK8,810131770976,00810131770976,0810131770976,3000-lumen-5-stage-rechargeable-flashlight-with-adjustable-beam-and-sos-mode-7-5-inches,10246948356396,52716486951212
2-VERIFY MPN (looks auto-generated),"Lightweight Waterproof Dry Sack Bags with Roll Top (3 Sizes, 3 Colors)",3L BLUE (210T Terylene),SON-ASRO-3LSMALLDRYSACK-BLUE,810131705350,ASRO-DH78L0V5,ASRO-DH78L0V5,810131705350,00810131705350,0810131705350,15l-green-waterproof-dry-sack-gusseted-bottom-ripstop-nylon-bag,9516520374572,53136461201708
2-VERIFY MPN (looks auto-generated),Mini Stick On LED Lights 6 Pack Battery Operated Puck Lights with Magnet and Adhesive for Camping Gear RV Tool Boxes,Default Title,SON-ASRO-STICKONLIGHTS-6PK-BUN,810131744434,ASRO-4Z78KCXP,ASRO-4Z78KCXP,810131744434,00810131744434,0810131744434,mini-stick-on-led-lights-6-pack-battery-operated-puck-lights-with-magnet-and-adhesive-for-camping-gear-rv-tool-boxes,10246957728044,52716573327660
3-no SKU (identify by name),"First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc",Default Title,,,ASROFAK50PC,ASROFAK50PC,,,,first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc,10158773862700,52400237216044
4-ok (has GTIN),"10 Inch Bottom Dual Riffle Gold Pan Gold Prospecting Equipment, Green",Default Title,SON-BTMRFLGP10IN-GRN,810058488091,01G2301PG0,01G2301PG0,810058488091,00810058488091,0810058488091,10-inch-bottom-dual-riffle-gold-pan-gold-prospecting-equipment-green,10165513879852,52434487738668
4-ok (has GTIN),10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors),Black,SON-B10GRGTGP-10-BLCK-9,739558453968,ASRO-GP1RB,ASRO-GP1RB,739558453968,00739558453968,0739558453968,10-inch-single-riffle-standard-gold-pan-multiple-colors,8517567316268,46028629475628
4-ok (has GTIN),10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors),Green,SON-G10GRGTGP-10-GRN,706569698251,ASRO-GP1RG,ASRO-GP1RG,706569698251,00706569698251,0706569698251,10-inch-single-riffle-standard-gold-pan-multiple-colors,8517567316268,46028629442860
4-ok (has GTIN),10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors),Purple,SON-G10GRGTGP-10-PURP,060886836926,ASRO-GP1RP,ASRO-GP1RP,060886836926,00060886836926,0060886836926,10-inch-single-riffle-standard-gold-pan-multiple-colors,8517567316268,46028629541164
4-ok (has GTIN),"10 Inch Triple Riffle Gold Pan Gold Prospecting Equipment, Green",Default Title,SON-AO10ITRIPRIFF-10-GRN,810058481948,,gp-14green-1,810058481948,00810058481948,0810058481948,10-inch-triple-riffle-gold-pan-gold-prospecting-equipment-green,10165489860908,52434451431724
4-ok (has GTIN),"10 in 1 Compact Survival Device Camping Hiking Gear Emergency Supplies, Green",Default Title,SON-ASRO-10IN1SURVIVALTOOL-GRN,0810131705091,,QNL99SF5,810131705091,00810131705091,0810131705091,10-in-1-compact-survival-kit-camping-hiking-gear-emergency-supplies-green,9511347683628,49355135353132
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Black,SON-AOSBPRBS1FT-100F-BLCK,183730770419,,37744,183730770419,00183730770419,0183730770419,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213751084
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Desert Camo,ASR-PRDC100FT-100PK-100FT-DSRTCM,706569580778,,ASR-DCP-298,706569580778,00706569580778,0706569580778,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214045996
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Green,SON-100FTGNGPR550LBS-100FT-NNGRN,713881115960,,GNGPR,713881115960,00713881115960,0713881115960,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214013228
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Grey,SON-PARACORD-100-7-GREY,060886472391,,100PCBGREY,060886472391,00060886472391,0060886472391,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213816620
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Khaki,SON-PARACORD-100-7-KHAKI,060886228684,,100PCBKHAKI,060886228684,00060886228684,0060886228684,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214111532
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,OD Green,SON-AOSOGPRBS1FT-100F-OLVDRBGRN,716758539456,,46041,716758539456,00716758539456,0716758539456,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213849388
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Orange,SON-AOSPRO100FT-100FT-ORNG,745121029423,,ASR-ORG,745121029423,00745121029423,0745121029423,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213914924
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Reflective Orange,SON-AOSPRORT100FT-RFLCTVORNG,169675307392,,ASR-ORRT-599,169675307392,00169675307392,0169675307392,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214078764
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Tan Camo,SON-PARACORD-100-7-TAN-CAMO,810058481900,,100PCBTANCAMO,810058481900,00810058481900,0810058481900,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213947692
4-ok (has GTIN),100FT 7-Strand Nylon Paracord Parachute Cord,Woodland Camo,ASR-550LBSSSPRWC100FT-BUN-100PK-100FT,622848707172,,WC-100-660,622848707172,00622848707172,0622848707172,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213980460
4-ok (has GTIN),100pc Portable Dry Sack First Aid Kit Dry Emergency Preparedness Items Survival Gear,Default Title,SON-FIRSTAIDKIT-100PC,855569007324,,ASROFAK100PC,855569007324,00855569007324,0855569007324,emergency-1-person-survival-first-aid-kit,9513024946476,49361681219884
4-ok (has GTIN),10L Collapsible Silicone Bucket Gold Prospecting Equipment,Without Stand,SON-COLLAPSBUCKET-10L-OD-CB10L,810058486134,,10LCGPBORG,810058486134,00810058486134,0810058486134,10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,8522154967340,46062879932716
4-ok (has GTIN),10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors),Black,SON-GOLDPANKIT-BLK-10PC-BUN,810058483607,,ASROBLK10PCK,810058483607,00810058483607,0810058483607,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,8504355389740,45951386419500
4-ok (has GTIN),10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors),Blue,SON-GOLDPANKIT-BLU-10PC-BUN,810058485014,,ASROBLU10PCK,810058485014,00810058485014,0810058485014,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,8504355389740,45951386452268
4-ok (has GTIN),10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors),Green,SON-GOLDPANKIT-GRN-10PC-BUN,810058481245,,ASROGRN10PCK,810058481245,00810058481245,0810058481245,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,8504355389740,45951386386732
4-ok (has GTIN),10pc Fine Gold Recovery Pocket Prospecting Kit in Clear Waterproof Container,Default Title,SON-POCKETGOLDKIT-11PC2,810058482112,,ASROPGK11PC,810058482112,00810058482112,0810058482112,asr-outdoor-clear-pocket-portable-travel-gold-panning-kit-for-prospecting-11pc,10006929572140,51209301295404
4-ok (has GTIN),"10pk Hand Warmers, 10 Hour Protection for Camping, Skiiing, Outdoors",Default Title,ASR-HWW8HPS-BUN-10PK-SML,810058487964,,HWHP8HR1,810058487964,00810058487964,0810058487964,10pk-hand-warmers-10-hour-protection-for-camping-skiiing-outdoors,9516340969772,49369965363500
4-ok (has GTIN),11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors),Black,HWK-ASRO-MADEINUSAGP-11IN-BLK,810131703721,ASRO0GPUSA-B,ASRO0GPUSA-B,810131703721,00810131703721,0810131703721,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,9840455614764,50620241183020
