"sku","parent.sku","name","number_of_items_amazon","character","character_amazon","theme_amazon","theme_walmart","recommendeduse_walmart","type_of_tool","model_name_amazon","handle_material_amazon","pattern_name_amazon","item_shape_amazon","shape_walmart","style","style_amazon","age_range_description_amazon","voltage_amazon","power_source_type_amazon","occasion_type_amazon","occasion_walmart","fabriccareinstruction_walmart","capacity_amazon","blade_material_type_amazon"
"26C-WS10PCCUPS-YJJ-74613-72-NOVAR","","Beille 10 Piece Kitchen Measuring Cups Spoons Cooking Baking Set Wheat Straw","","","","","","","","","","","","","10 Piece Measuring Cups","Spoon","adult","","","","","","",""
"4SN-300PCSTICKERS-BABYYODA-HPNR","","Baby Yoda Star Wars The Mandalorian Sticker Book Pack - Over 300 Stickers","","Baby Yoda","Baby Yoda","","Stationery","crafts, art, school","","","","","","Rectangle","","","Kid","","","","School Supplies","","",""
"4SN-4PCSTICKERS-PARENT","","Licensed Kids Cartoon 4pc Cute Sticker Sheets Stationery Art Supplies Ages 3+","","","","","Stationery","crafts, art, school","","","","","","Rectangle","","","Kid","","","","School Supplies","","",""
"SON-FEEDSCOOP-GRN-GP3-SS21","","ASR Outdoor Green Heavy Duty Plastic Gold Rush Gold Panning Hand Scoop Trowel","","","","","","gardening, gold panning, gold prospecting, digging, mining","","","","","","","","","Adult","","manual","","","","",""
"HWK-NYTOOLBAG-AB75","","ToolTreaux Nylon Storage Tool Bag with Side Pockets Shoulder Strap 18 x 8.5 In","","","","","","","","","","","","","","","Adult","","","","","","",""
"4SN-EYETOOLKIT-2PC-71209","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Eyelash Curler and Tweezer Set Eye Makeup Eyebrow Tool Set - 2pc","","","","","","makeup, eyelashes, eyebrows","","","","","","","","","adult","","","","","","",""
"UPD-8PCERASR-69344MZ","","Marvel Avengers 8pc Eraser Pack School Supplies Stocking Stuffer Boys Age 4 Up","","Avengers","Avengers","","Superheroes","arts and crafts, crafting, stickers","","","","","","Rectangle","","","little_kid","","","","School","","",""
"UPD-WIBBLY-SQUISHER-SPIDERMAN-HPNR","","Ball, Bounce and Sport Inc. Spider-Man Blue Wibbly Squish Beads Ball - Lights","","Spiderman","Spiderman","comics","","","","","","","","","","","kid","","","","","","",""
"UPD-MMHAIRCLIPS-12PC-MM2415","","Disney Minnie Mouse Glitter Hair Clips Girls Accessories, Multicolor, 12pc, Ages 3+","","","","","","","","","","","","","","","Kid","","","","","","",""
"UPD-DPBFSWBRAHC-7-PNK","","Disney Princess 6pc Girls BFF Fashion Jewelry Hair Accessories Set with Bracelets Ring Hair Clips, Pink, Ages 3+","","Disney Princess","Disney Princess","","","","","","","","","","","","Kid","","","","","","",""
"4SN-FINGERLINGS-DIARY-10408","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces","","","Steel block","","","","","","","","","","","","","","","","","","",""
"4SN-FLYRIBBONS-4PK-44487","","PIC Fly Ribbons Attracts and Traps Flying Insects No Mess No Vapors - 4 Pack","","","","","","pest control, insect control, fly traps","","","","","","","","","","","","","","","",""
"4SN-FLYTRAPS-2PK-27804","","PIC Fly Traps Glue Attracts and Traps Flying Insects No Mess No Vapors - 2 Pack","","","","","","","","","","","","","","","","","","","","","",""
"4SN-JOJOTOOTHBRUSH-CAP","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap","","JoJo Siwa","Airport City","","","","","","","","","","","","Kid","","","","","","",""
"UPD-MINCHARMRING-PNK","","Disney Minnie Mouse Girls Beaded Ring Bracelet Glitter Charm Jewelry Gift","","Minnie Mouse","","","dress up, pretend play","girls fashion, costume jewelry, kids christmas gifts, girls stocking stuffers, girls accessories","","","","","","","","","Kid","","","","","","",""
"UPD-MINNIE-FAUXHAIR","","Disney Minnie Mouse Purple Blue Faux Hair Braid Ponytail Extension with Pink Bow Elastic","","Minnie Mouse","Minnie Mouse","","dress up, pretend play","costume, dress up, pretend, halloween, entertainment","","","","","","","","","Kid","","","","","","",""
"UPD-TS4EARRINGSET-14PC","","Disney Pixar Toy Story 4 Days of the Week Stick On Earrings and Rings Set","","Toy Story 4","","","","","","","","","","","","","Kid","","","","","","",""
"UPD-TS4NOTEPEEP-1023670477","","Disney Pixar Toy Story 4 Shaped Spiral Notebook with Pink Pen - Bo Peep","","Toy Story","","","","school supplies, gifts for kids, stocking stuffers, back to school, stationary set","","","","","","","","","Kid","","","","","","",""
"4SN-STICKERACTIVITY-CAPUSA","","80pg Avengers Jumbo Coloring & Activity Book","","","Captain America","","","","","","","","semi-circular","","","","kid","","","","","","",""
"ABC-RESCGUN-7636","","Kidplokio Camo Rescue Mission Toy Blaster with Lights Sounds Boys Ages 3 and Up","","","Blaster","military-leaders","Rescue Mission","pretend play, outdoors","","","","","","Rectangle","","","Kid","","","","Pretend Play","","",""
"ABC-SWATELITESET-DF42218A","","Kidplokio Swat Elite Police Toys Kids Blaster and Cuffs Set Boys Ages 3 and Up","","Police","Police","police","Police","pretend play","","","","","","Rectangle","","","Kid","","","","Pretend Play","","",""
"ALI-PARANECK-PARENT","","ASR Outdoor Paracord Necklace Fire Starter Striker Tool (2 Colors and Styles)","","","","","","Camping, Hiking","","","","","","","","","Adult","","","","","","",""
"SON-DSSWCCPASSWC-625X25-SLVR","","Dual Sided 12pc Wax Clay Carving Pick Spatula Tool Set with Case Arts and Crafts","","","","","","crafting, carving, hobbies, art projects, pottery","","","","","","","","","Adult","","","","","","",""
"ALUMCASE-CONTAINERS-PARENT-TT","","ToolTreaux Aluminum Jar Storage Tin, 1/2 Oz Container and Display Set","","","Frozen","","","","","","","","","","","","Adult","","","","","","",""
"ASR-ADTMGBKC-BUN-12PK-STD-ASSRTD","","12 Pack Bulk Dog Tag Keychain Blank Aluminium Metal Military ID Dog Tags Key Ring","","","Frozen","","","","","","","","","","","","Adult","","","","","","",""
