"sku","parent.sku","name","character_ebay","handle_material_ebay","age_group","style_ebay","blade_edge_type_amazon","recommended_age_range","voltage_ebay","dexterity_walmart","power_source","blade_length_ebay","care_instructions_amazon","occasion","capacity","blade_material_ebay","ingredients_amazon","battery_technology_ebay","fill_material_type_amazon","sport_type_amazon","fragrance","fabric_type_amazon","formulation","frame_material"
"26C-WS10PCCUPS-YJJ-74613-72-NOVAR","","Beille 10 Piece Kitchen Measuring Cups Spoons Cooking Baking Set Wheat Straw","","","","1 Pack","","","","","","","","","","","","","","","","","",""
"4SN-300PCSTICKERS-BABYYODA-HPNR","","Baby Yoda Star Wars The Mandalorian Sticker Book Pack - Over 300 Stickers","Officially Licensed","","","1 Pack","","","","","","","","","","","","","","","","","",""
"4SN-4PCSTICKERS-PARENT","","Licensed Kids Cartoon 4pc Cute Sticker Sheets Stationery Art Supplies Ages 3+","","","","1 Pack","","","","","","","","","","","","","","","","","",""
"SON-FEEDSCOOP-GRN-GP3-SS21","","ASR Outdoor Green Heavy Duty Plastic Gold Rush Gold Panning Hand Scoop Trowel","","","Adult","","","","","","","","","","","","","","","","","","",""
"HWK-NYTOOLBAG-AB75","","ToolTreaux Nylon Storage Tool Bag with Side Pockets Shoulder Strap 18 x 8.5 In","","","","","","","","","","","","","","","","","","","","","",""
"4SN-EYETOOLKIT-2PC-71209","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Eyelash Curler and Tweezer Set Eye Makeup Eyebrow Tool Set - 2pc","","","Adult","1 Pack","","","","","","","","","","","","","","","","","",""
"UPD-8PCERASR-69344MZ","","Marvel Avengers 8pc Eraser Pack School Supplies Stocking Stuffer Boys Age 4 Up","Officially Licensed","","","1 Pack","","","","","","","","","","","","","","","","","",""
"UPD-WIBBLY-SQUISHER-SPIDERMAN-HPNR","","Ball, Bounce and Sport Inc. Spider-Man Blue Wibbly Squish Beads Ball - Lights","","","","","","","","","","","","","","","","","","","","","",""
"UPD-MMHAIRCLIPS-12PC-MM2415","","Disney Minnie Mouse Glitter Hair Clips Girls Accessories, Multicolor, 12pc, Ages 3+","Minnie Mouse","","Child","","","","","","","","","","","","","","","","","","",""
"UPD-DPBFSWBRAHC-7-PNK","","Disney Princess 6pc Girls BFF Fashion Jewelry Hair Accessories Set with Bracelets Ring Hair Clips, Pink, Ages 3+","","","Child","","","","","","","","","","","","","","","","","","",""
"4SN-FINGERLINGS-DIARY-10408","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces","","","","","","","","","","","","","","","","","","","","","",""
"4SN-FLYRIBBONS-4PK-44487","","PIC Fly Ribbons Attracts and Traps Flying Insects No Mess No Vapors - 4 Pack","","","Adult","","","","","","","","","","","","","","","","","","",""
"4SN-FLYTRAPS-2PK-27804","","PIC Fly Traps Glue Attracts and Traps Flying Insects No Mess No Vapors - 2 Pack","","","Adult","","","","","","","","","","","","","","","","","","",""
"4SN-JOJOTOOTHBRUSH-CAP","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap","","","","","","","","","","","","","","","","","","","","","",""
"UPD-MINCHARMRING-PNK","","Disney Minnie Mouse Girls Beaded Ring Bracelet Glitter Charm Jewelry Gift","","","Child","","","","","","","","","","","","","","","","","","",""
