"sku","parent.sku","name","season","tang_ebay","room","closure_amazon","head_material_type_amazon","hair_type_amazon","size_ebay","skin_type_amazon","blade_type_ebay","compatible_devices_amazon","blade_color_ebay","gender","battery_included_ebay","gun_type_ebay","finish_type_amazon","coarseness","cut","for_gun_make","compatible_model","form","thickness","size_type"
"26C-COOKTOOLS-PARENT","","Beille Spoons Spatula Kitchen Utensils Set High Heat Resistance Spoon Ladle Spatula","","","","","","","","","","","","female","","","","","","","","","",""
"26C-GARDTOOLS-PARENT","","ToolTreaux Essential Gardening Tools and Cultivating Accessories (Many Options)","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-2PCCUTTINGBOARDS-44015","","Beille Plastic Kitchen Cutting Board Set Textured Non-slip Surface, Set of 2","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-3PCCUTLERY-44031","","Beille 3pc Stainless Steel Kitchen Cutlery Knife Set Cutting Santoku Chef Knife","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-6PCKNIVES-50549","","Beille Stainless Steel Kitchen Cutlery Knife Set Carving Paring Utility 6 Piece","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-BAGSTICKER-TS4-BUN","","Toy Story 4 Kids Cinch Bag Travel Backpack with 4pc Sticker Sheet Bundle Set","","","","","","","18""","","","","","unisex","","","","","","","","","",""
"MCN-WILDERNESSTRAVELGUIDE","","Wilderness Travel Medicine Emergency Guide","","","","","","","","","","","","","","","","","","","","","",""
"4SN-BLACKKNIFESET-4PC","","Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-BLE-BLACKKNIFESET-5PC","","Beille Stainless Steel Black Knife Set Kitchen Utensils Home Goods, 5pc","","","","","","","","","","","","unisex","","","","","","","","","",""
"4SN-BLE-CHRMWBOTTLE-23OZ","","Beille Silver Chrome Borosilicate Glass BPA Free Water Bottle with Bamboo Lid Hydration Health and Beauty, 23oz","","","","","","","23oz","","","","","unisex","","","","","","","","","",""
