"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"HNR-HHCSBACBC-BUN-2PC-LG-BLCK-BNDL","","Heininger HitchMate Cargo Stabilizer Bar and Cargo Bag Combo","","","","","","","","","","","","","","","","","","Large","","","",""
"LST-SPACEBATTLE-DINOGUN-KPKO","","Kidplokio 3 in 1 Transforming Dinosaur Toy Space Blaster with Lights Sounds, Red, Boys Ages 3+","Dinosaur","","","","","","","","","","","Red","","","","","","Large","","","",""
"NPT-ASRT-3PCTHROWSETSHARK-BLK","","ASR Tactical 3pc Stainless Steel Shark Full Tang Throwing Knives Set","","","","","","","","","","","","Black","","","","","","Small","","","",""
"NPT-FLGKNIFE-HWT257A","","ASR Tactical Double Edge Full Tang Spear Point Blade Hook Handle Sheath - Flag","","","","","","","","","","","","Flag","","","","","","8.25""","","","",""
"SON-FLOATWHISTLE-PARENT","","ASR Outdoor Floating Survival Signal Whistle, Loudest Safety Emergency Alert (Pack Sizes)","","","","","","","","","","","","Orange","","","","","","","","","",""
"UPD-TS4LAPDESK-SET","","Disney Pixar Toy Story 4 Art Lapdesk Paint Color Design Stickers Travel Activity Book Stationery Set for Kids","Disney","","","dress up, pretend play","","TS4LAPDESK-1","","","","","","Blue","","","bedroom, living room, dining room","","","Small","","","",""
"MCN-BOOT-BUNDLE-2PC","","Aquaseal SR + 4oz Rubber Boot Cleaner","","","","","","","","","","","","","","","","","","","","","",""
"SON-MINPOCKKNV-LOGO-GRN","","ASR Outdoor Small EDC Mini Pocket Knife - ASR Logo Green","","","","","","","","Small Pocket Knife","","","","Green","","","","","","2.25\""","","","",""
"DOY-ASRO-GEMSTONEPAYDIRT-5LB-PARENT","","ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kit (4 Styles)","","","None","","","","","","","","","Green","","","","","","Large","","","",""
"4SN-BLE-JUMBOBAGCLIP-2PK-STD","","Beille 6 Inch Jumbo Stainless Steel Magnetic Bag Clip, Kitchen Clips for Chips Coffee Snacks Pet Food, Pantry Organizers and Storage (2pk)","","","","","","","","","","","","","","","","","","","","","",""
