"sku","parent.sku","name","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay"
"26C-WS10PCCUPS-YJJ-74613-72-NOVAR","","Beille 10 Piece Kitchen Measuring Cups Spoons Cooking Baking Set Wheat Straw","","Cream","","","","Beille","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","1","5","(10) Measuring Cups and Spoons","","0.3","4","BEILWS10PCCUPS",""
"4SN-300PCSTICKERS-BABYYODA-HPNR","","Baby Yoda Star Wars The Mandalorian Sticker Book Pack - Over 300 Stickers","","green","","","","Officially Licensed","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stickers","0.1","11","(4) Sticker Sheets","","0.08","8","203603","4SROL4SPK"
"4SN-4PCSTICKERS-PARENT","","Licensed Kids Cartoon 4pc Cute Sticker Sheets Stationery Art Supplies Ages 3+","","","","","","Officially Licensed","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stickers","0.1","11","(4) Sticker Sheets","","0.08","8","KPLDSW4PCSS",""
"SON-FEEDSCOOP-GRN-GP3-SS21","","ASR Outdoor Green Heavy Duty Plastic Gold Rush Gold Panning Hand Scoop Trowel","ASR Outdoor","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3","12","(1) Green Scoop","","0.12","4","PFSGRN12",""
"HWK-NYTOOLBAG-AB75","","ToolTreaux Nylon Storage Tool Bag with Side Pockets Shoulder Strap 18 x 8.5 In","ToolTreaux","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Nylon","11","18","(1) ToolTreaux Nylon Tool Bag","","2","8.5","NYTTBGRN18",""
"4SN-EYETOOLKIT-2PC-71209","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Eyelash Curler and Tweezer Set Eye Makeup Eyebrow Tool Set - 2pc","","Chrome","China","","","ToolTreaux","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","5","3","(1) Eyelash Curler(1) Tweezer","","0.09","1","TTEYELSHTST2PC",""
"UPD-8PCERASR-69344MZ","","Marvel Avengers 8pc Eraser Pack School Supplies Stocking Stuffer Boys Age 4 Up","","Avengers","","","","Kids Erasers","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Eraser","1","8","(1) Eraser Set","","0.3","5","MRVAVG8PCERS",""
"UPD-WIBBLY-SQUISHER-SPIDERMAN-HPNR","","Ball, Bounce and Sport Inc. Spider-Man Blue Wibbly Squish Beads Ball - Lights","","Blue","","","","","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","5","5","(1) Wibbly Squish Ball","","0.3","5","203829",""
"UPD-MMHAIRCLIPS-12PC-MM2415","","Disney Minnie Mouse Glitter Hair Clips Girls Accessories, Multicolor, 12pc, Ages 3+","HER Accessories","Multi","China","","","Officially Licensed","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","0.25","8.25","(12) hair clips","","0.05","3","8985DMMM",""
"UPD-DPBFSWBRAHC-7-PNK","","Disney Princess 6pc Girls BFF Fashion Jewelry Hair Accessories Set with Bracelets Ring Hair Clips, Pink, Ages 3+","","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1.5","7","(1) Disney Princess Best Friend Set","6","0.14","5","DPS8788-467",""
