"sku","parent.sku","name","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay"
"26C-COOKTOOLS-PARENT","","Beille Spoons Spatula Kitchen Utensils Set High Heat Resistance Spoon Ladle Spatula","","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","","5","13","","","0.6","3","BEIL-4PCSPNGRY","BLECKTLS"
"26C-GARDTOOLS-PARENT","","ToolTreaux Essential Gardening Tools and Cultivating Accessories (Many Options)","","Assorted","","","","Gardening Gloves","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Latex","1","8","","","0.3","4","TTGGLOV1PR","GGLVTT"
"4SN-2PCCUTTINGBOARDS-44015","","Beille Plastic Kitchen Cutting Board Set Textured Non-slip Surface, Set of 2","","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Polypropylene","0.1","14","(2) Cutting Boards","","0.5","10","BE2PCCBST",""
"4SN-3PCCUTLERY-44031","","Beille 3pc Stainless Steel Kitchen Cutlery Knife Set Cutting Santoku Chef Knife","","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","1","16","(1) Set of Knives","","0.95","8","3PCCUTST1",""
"4SN-6PCKNIVES-50549","","Beille Stainless Steel Kitchen Cutlery Knife Set Carving Paring Utility 6 Piece","","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","1","12","(1) Set of Knives","","1","8","BE6PCKSET1",""
"4SN-BAGSTICKER-TS4-BUN","","Toy Story 4 Kids Cinch Bag Travel Backpack with 4pc Sticker Sheet Bundle Set","","Toy Story","China","","","Officially Licensed","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","Unisex Kids","Polyester","0.25","18","(1) Drawstring Cinch Bag
(4) Sticker Sheets","","0.15","13","TS4STICKBPBUN",""
"MCN-WILDERNESSTRAVELGUIDE","","Wilderness Travel Medicine Emergency Guide","Gear Aid","Standard","United States","","FAKWG-C-580","","","","","","","","","Assorted","0.5","6","(1) Comprehensive Wilderness Medicine Guide","","0.3","4","FAKWG-C-580",""
"4SN-BLACKKNIFESET-4PC","","Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle","","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","1","13","(5) Essential Kitchen Knives","","0.84","2","UHBSSKS4PC",""
"4SN-BLE-BLACKKNIFESET-5PC","","Beille Stainless Steel Black Knife Set Kitchen Utensils Home Goods, 5pc","","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","1","16","(5) Kitchen Knives","","1.2","10","BL01855901",""
"4SN-BLE-CHRMWBOTTLE-23OZ","","Beille Silver Chrome Borosilicate Glass BPA Free Water Bottle with Bamboo Lid Hydration Health and Beauty, 23oz","","Chrome","China","","","Beille","","","","","","","","Glass","3","9.5","(1) Beille Chrome Finish Glass Water Bottle","","0.78","3","23047120",""
"4SN-BLE-KNIFESET-13PC","","Beille Kitchen Knife Set Cooking Baking Supplies Meal Prep with Wood Storage Block, 13pc","Beille","Black","China","Knife Block","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","4.5","14","(13) Chef Knives","13","4.6","6.5","BLE825051",""
