"sku","parent.sku","name","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay"
"4SN-BLE-UTENSILSET-PARENT","","Beille Kitchen Gadgets Cooking Baking Supplies Meal Prep Tool Set Pastel","","Blue","China","Basting Brush","","Kitchen Tools","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Wood","1.5","8","","","0.7","6.5","BEI4PCKIUS","BLEBUTWG"
"4SN-BLE-WDNSPOONS-2PC-STD","","Beille Kitchen Bamboo Utensils Wooden Spoons Cooking Baking Accessories 2pc Set","","Brown","China","Cooking Spoon","","Cooking Utensils","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Bamboo","1","9","(4) Beille Wooden Spoons","","0.15","6","BEI4PCSPSET",""
"4SN-CALLUSREMOV-BLU-42121","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Blue","Home Essentials","Blue","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","8","(1) Callus Remover","","0.15","1.25","HECALRBLU1",""
"4SN-CALLUSREMOV-RED-42121","","Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Red","Home Essentials","Red","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","8","(1) Callus Remover","","0.15","1.25","HECALRRED1",""
"4SN-CHEESEGRATER-PNK-45498","4SN-CHEESEGRATER-PARENT","Beille 6 Side Stainless Steel Grater Top Handle Zester Slicer 7.75 Inch - Pink","","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","4.5","8","(1) Beille Grater","","0.34","4.5","CHSGRPNK1",""
"4SN-CHRMWBOTTLE-23OZ","","ASR Outdoor Chrome Finish Leak Proof Glass Water Bottle 23oz with Bamboo Lid","","Chrome","China","","","ASR Outdoor","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Glass","3","9.5","(1) ASR Outdoor Chrome Finish Glass Water Bottle","","0.78","3","ASROCHRMWB23OZ",""
"4SN-CINCHBAG-PARENT","","18 Inch Kids Licensed Cartoon Cinch Bag Travel Backpack Drawstring Tote","","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","Unisex Kids","Polyester","0.25","18","(1) Drawstring Cinch Bag","","0.15","13","PPCBAG1","CINCHBAGOFLC"
"UPD-PLAYPACK-AVENGERS-1066524","","Marvel Avengers 6pc Grab and Go Play Pack Coloring Book for Boys Ages 3 and Up","","Avengers","","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","paper","1","6.5","(1) Activity Book","","0.1","4.3","1066524",""
"UPD-MICKPENCILS-8PC","","Disney Mickey Mouse Kids Colored Pencils Art and School Supplies Set 8 Pack","Mickey Mouse","Blue","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Wood","0.25","9","(8) Mickey Mouse Colored Pencils","","0.1","2.75","DMMCP8PC",""
"4SN-CINCHBAG-YODA-2PC-BUN","","Baby Yoda 2pc Kids 18 Inch Cinch Bags Travel Backpacks Drawstring Totes Set","","Yoda","China","","","Officially Licensed","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","Unisex Kids","Polyester","0.25","18","(2) Drawstring Cinch Bags","","0.3","13","BBYDPRCG2PC","CINCHBAGOFLC2PC"
"4SN-COFFEEMUGS-54715-WARM","4SN-COFFEEMUGS-PARENT","Beille Ceramic Stoneware Modern Dipped Coffee Cups 3pc Set, Assorted Colors","","Warm","China","","","Ceramic","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Ceramic","6","12","(3) Coffee Mugs","","3","6","BCMUG3PCWRM",""
"UPD-8PCERASR-69343MZ","","Marvel Spiderman 8pc Eraser Pack School Supplies Stocking Stuffer Boys Age 4 Up","","Spiderman","","","","Kids Erasers","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Eraser","1","8","(1) Eraser Set","","0.3","5","MRVSPI8PCERS",""
"UPD-MMFASHIONACC-4PC-PNK-MM2336","","Disney Minnie Mouse Headband and 3 Coil Bracelets, Girls Fashion Hair Accessories, 4pc, Pink, Ages 3+","","Pink","China","","","Officially Licensed","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Polyester","1","5.5","(1) Fabric Headband(3) Plastic Coil Stretch Bracelets","","0.05","4.5","6332MM8487",""
"4SN-CUTLERYSET-13PC-44136-WAL-HPNR","","MasterChef 13-Piece Kitchen Knife Set w Wooden Storage Block Stainless Steel","","Black","","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","3.25","13","","","2.65","7","784094231327",""
"4SN-DENTALFLOSS-12PK","","Fresh Mint Dental Floss for Teeth and Gum Oral Care Remove Food and Plaque 12pk","Home Essentials","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.5","2.25","(1) Dental Floss","","0.06","2","HEFMDT12PK",""
"4SN-DENTALFLOSS-3PK","","Fresh Mint Dental Floss for Teeth and Gum Oral Care Remove Food and Plaque 3pk","Home Essentials","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.5","2.25","(1) Dental Floss","","0.06","2","HEFMDT3PK",""
"4SN-DOVEHANDSOAP-PARENT","","Dove Deep Moisturizing Cream Beauty Bar Hand Soap Facial or Body, 4oz","Dove","","United States","","","","","","","","","","","Soap","1.5","3.5","","","0.3","2.75","",""
"4SN-DOVEHANDSOAP-PNK-WAL-NOVAR","","Dove Pink Deep Moisturizing Cream Beauty Bar Hand Soap Facial or Body 4oz","","Pink","United States","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Soap","1.5","3.5","(1) Dove Beauty Bar","","0.3","2.75","DBB4PNKW",""
"4SN-DOVESHAMPOO-FRZ-38046","","Dove Hair Care Shampoo Anti Frizz Formula with Coconut Oil Argan Oil Almond Oil","","White","Mexico","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Shampoo","2","9","(1) Dove Shampoo","1","0.9","3.5","DOVANTIFRZ1",""
"4SN-DOVESHAMPOO-KNT-38044","","Dove Hair Care Anti Knot Hydration Formula Shampoo 350mL 12 Ounce Bottle","","White","Mexico","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Shampoo","2","9","(1) Dove Shampoo","1","0.9","3.5","DOVKNOT12",""
"4SN-DOVESHAMPOO-MIC-38043","","Dove Detox Purifying Micellar Hair Care Formula Shampoo 12 Ounce 350mL Bottle","","White","Mexico","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Shampoo","2","9","(1) Dove Shampoo","1","0.9","3.5","DOVMICEL12",""
"4SN-DOVESHAMPOO-REC-38047","","Dove Hair Care Complete Reconstruction Anti Breakage Hair Repair Formula Shampoo","","White","Mexico","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Shampoo","2","9","(1) Dove Shampoo","1","0.9","3.5","DOVREC12",""
"4SN-DOVE-SHEABUTTERBAR-5PK-18007-BUN","","5 Pack Dove Shea Butter Beauty Cream Moisturizing Bar Soap with Vanilla 4.75oz","Dove","White","Germany","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Soap","1.25","3.75","(1) Dove Bar Soap","","1.5","2.5","DBBSBS18007",""
"4SN-FACECREAM-6OZ","","Bella Linda Skin Care Face Moisturizer Cream Lotion for Hydration 6.5oz","Home Essentials","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Lotion","1.25","3.5","(1) 6.5oz Facial Moisturizer Lotion","","0.48","4","HEBL65OZFC",""
"4SN-FACECREAM-6OZ-2PK","","2pk Bella Linda Skin Care Face Moisturizer Cream Lotion for Hydration 6.5oz","Home Essentials","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Lotion","1.25","3.5","(2) 6.5oz Facial Moisturizer Lotion","","1","4","HEBL2P",""
"4SN-FACECREAM-6OZ-3PK","","3pk Bella Linda Skin Care Face Moisturizer Cream Lotion for Hydration 6.5oz","Home Essentials","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Lotion","1.25","3.5","(3) 6.5oz Facial Moisturizer Lotion","","1.5","4","HEBL65OZFC3PK",""
"4SN-FLEXCUTTINGMAT-PINK","","Universal Home Non-slip Flexible Cutting Mat Food Contact Dishwasher Safe - Pink","Universal Home","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","0.1","13.25","(1) Flexible Cutting Mat - Pink","","0.18","9.5","UHFCMPINK",""
"4SN-GARDENTOOLS-PARENT","","ToolTreaux Wooden Steel Handheld Garden Tools Rake Shovel Hoe 3 Pieces","ToolTreaux","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Wood","4","14","","","0.9","4","TT3PCGARDST",""
"4SN-LSPEEDSTICK-PARENT","","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant (3 Scent Choices)","Lady Speed Stick","","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Deodorant","1.2","4.5","(1) Lady Speed Stick Deodorant","","0.1","2.2","",""
"4SN-LSPEEDSTICK-PDF-10PK","","10pk Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Powder Fresh","Lady Speed Stick","Powder Fresh","United States","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Deodorant","1.2","4.5","(10) Lady Speed Stick Powder Fresh Deodorant","","0.5","6.6","LSS14-PDF5P",""
"4SN-LSPEEDSTICK-PDF-3PK-BUN","","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Powder Fresh 3pk","Lady Speed Stick","Powder Fresh","United States","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1.2","4.5","(3) Lady Speed Stick Powder Fresh Deodorant","","0.5","6.6","LSSPDFDAP143PK",""
"4SN-LSPEEDSTICK-PDF-5PK","","5pk Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Powder Fresh","Lady Speed Stick","Powder Fresh","United States","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Deodorant","1.2","4.5","(5) Lady Speed Stick Powder Fresh Deodorant","","0.5","6.6","LSS14-PDF5P",""
"4SN-LSPEEDSTICK-SBL-LSS","","Lady Speed Stick Deodorant 1.4 Ounce Shower Fresh (41ml)","","Shower Fresh","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Deodorant","1.2","4.5","","","0.1","2.2","",""
"DLT-JOT-MINICOLORPENCIL-307605","","Jot 24 Piece Count Mini Colored Pencil Kids Art School Supplies Set","","Multi-Colored","India","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Wood","0.75","4.5","(1) 24 Piece Colored Pencil Set","","0.2","3.5","307605",""
"4SN-MINECRAFT-BEDSHEETS","4SN-BEDSHEETS-PARENT","Minecraft Building Adventure Gaming Grey Bedding Twin Sheets Set for Boys, 3pc","4 Seasons GM","Minecraft","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Polyester","6","11","(1) Comforter(1) fitted sheet(1) Flat sheet(2) Pillow Cases","","2","14","51108",""
"4SN-MOODLIGHT-RECTANGLE","","Universal Home LED 7 Color Changing Mood Light Ambiance Home Decor White Light","Universal Home","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","3","5","(1) Color Changing LED Light","","0.22","3","UHMLRECT",""
"4SN-MOODLIGHT-RECTANGLE-2PK","","2pk Home LED 7 Color Changing Mood Lamp Ambiance Light Home Decor","Universal Home","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","3","5","(2) Color Changing LED Light","","0.5","3","UHMLRECT-2P",""
"4SN-PANDABACKPACK-43193","","Kidplokio Kids School Backpack Critter Panda Face for Children","","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","Girls","Polyester","3","16","(1) Critter Panda Backpack","","0.76","11","KPPANDBP1MG",""
"4SN-PINCHBOWL-47332-PARENT","","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essentials Set","","Clear","China","","","","Food","","","","","","","Glass","","","","","0.2","","BPBGLS1PC","BPNCHBWL225"
"4SN-SAVBANK-CHARACTER-PARENT","","Licensed Kids Coin Tin Piggy Bank Learning Savings Tools for Kids","The Tin Box Co.","","China","","","","","","","","","","","Tin","","","","","","","",""
"4SN-SPORTSBOTTLE-PARENT","","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration","","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3.5","9","(1) ASR Outdoor Water Bottle","","0.3","3.5","SPORTBPURP1",""
"4SN-STICKERACTIVITY-BATMAN-HPNR","","Batman Reward Stickers Activities Mini Coloring Book with Rewards Coloring Page","","Batman","","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","batman coloring book","1","6.5","(1) Activity Book with Stickers","","0.1","4.3","274782",""
"4SN-TOTE-BABYYODA-2PK-BUN","","Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up","","","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Polypropylene","10.2","10.2","(2) Kids Baby Yoda Reusable Medium Non Woven Tote Bags","","0.16","3.75","BBYODATB2PK",""
"4SN-TOUCHWATCH-56920-PARENT","","Licensed Girls LED Display Digital Touch Screen Watch for Kids (18 Styles)","","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","4","(1) Kids Touchscreen Digital Watch","","0.05","2.75","",""
"4SN-VASELINE-LIPTHER-48268-BUN","","Vaseline Lip Therapy Cocoa Butter Lip Balm Pure Petroleum Jelly Stick .16oz","","Brown","Korea","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Lip Balm","0.5","4","(1) Vaseline Lip Therapy","","0.3","3","VLTCS48268",""
"4SN-VASELINE-LIPTHER-COCOABUTTER-1PK","","Vaseline Lip Therapy Cocoa Butter | Lip Balm with Petroleum Jelly","","brown","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","0.5","2.6","(1) Vaseline Stick","","0.04","0.4","48268",""
"4SN-VASELINE-LIPTHER-OR-5PK-44551-BUN","","5 Pack Vaseline Lip Therapy Original Lip Balm Petroleum Jelly Moisturizing .16oz","Vaseline","Blue","Korea","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Lip Balm","0.5","4","(1) Vaseline Lip Therapy","","0.05","3.5","VLTOFCS44551",""
"4SN-VASELINE-LIPTHER-ORIGNAL-2PK-HPN-WAL","","(2 Pack) Vaseline Lip Therapy Original Lips With Petroleum Jelly","","blue","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","0.5","2.6","","","0.04","0.399","44551",""
"4SN-WALLCLOCK-PARENT","","Kids Licensed Character Analog Wall Clock Kids Bedroom Home Decor Wall Art","","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1.75","12.5","(1) Wall Clock","","0.8","10.5","SONWCLCK1",""
"4SN-WOMENSRAZORS-2PC-37693","","All Pure Womens 3 Blade Swivel Razor Pack 2 Pieces Lubricating Strip for Comfort","All Pure","Pink","China","Disposable Razor","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","7","(2) All Pure Womens Razors","","0.1","4","AP2PCRBSET",""
"ABC-FIRETRUCKPOLCAR-PARENT","","Kidplokio 360 Degree Bump and Go Emergency Responders Fire Truck Police Car Toy","","","","","","Toy Cars","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","10","12","","","2","10","KPLFRTRCKPOLCR2PC","ABCFRERTFTPC"
"ALUMCASE-CONTAINERS-PARENT","","Universal Hobby Aluminum Storage Display Container Set & Case (Various Packs)","","","","","UHASC-VAR-199","","","","","","","","","Aluminum","3","9.25","(1) Aluminum Storage Container Set","","0.55","6.5","UHASC-VAR-199",""
"APL-SUBSHARK-AS-9445","LST-KPL-FASTLANE-PARENT-PZ-AMZ","Kidplokio Boys 7pc Submarine Shark Diecast Toy Car Carrier Transporter, Age 3 up","","Black","","","","Toy Submarine","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","5.25","23.5","(1) Submarine Shark Toy Car Carrier","","1.4","4.5","KPLSHRKSUB7",""
