"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"26C-WS10PCCUPS-YJJ-74613-72-NOVAR","","Beille 10 Piece Kitchen Measuring Cups Spoons Cooking Baking Set Wheat Straw","","","","","","","","10 Piece Measuring Cups","","","","Beige","","","","","","5 Piece Set","","","",""
"4SN-300PCSTICKERS-BABYYODA-HPNR","","Baby Yoda Star Wars The Mandalorian Sticker Book Pack - Over 300 Stickers","Licensed","","","Stationery","","","","","","","","Original Version","","","","","","Original Version","","","",""
"4SN-4PCSTICKERS-PARENT","","Licensed Kids Cartoon 4pc Cute Sticker Sheets Stationery Art Supplies Ages 3+","","","","Stationery","","","","","","","","","","","","","","4pc","","","",""
"SON-FEEDSCOOP-GRN-GP3-SS21","","ASR Outdoor Green Heavy Duty Plastic Gold Rush Gold Panning Hand Scoop Trowel","","","","","","","","","","","","","","","","","","12\\\\\\\\\\\\\\\""","","","",""
"HWK-NYTOOLBAG-AB75","","ToolTreaux Nylon Storage Tool Bag with Side Pockets Shoulder Strap 18 x 8.5 In","","","","","","","","","","","","","","","","","","18"" x 8.5"" x 11""","","","",""
"4SN-EYETOOLKIT-2PC-71209","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Eyelash Curler and Tweezer Set Eye Makeup Eyebrow Tool Set - 2pc","","","","","","","","","","","","Chrome","","","","","","2pc","","","",""
"UPD-8PCERASR-69344MZ","","Marvel Avengers 8pc Eraser Pack School Supplies Stocking Stuffer Boys Age 4 Up","Avengers","","","Superheroes","","","","","","","","Avengers","","","","","","8pc","","","",""
"UPD-WIBBLY-SQUISHER-SPIDERMAN-HPNR","","Ball, Bounce and Sport Inc. Spider-Man Blue Wibbly Squish Beads Ball - Lights","","","","","","","","","","","","Blue","","","","","","Medium","","","",""
"UPD-MMHAIRCLIPS-12PC-MM2415","","Disney Minnie Mouse Glitter Hair Clips Girls Accessories, Multicolor, 12pc, Ages 3+","","","","","","","","","","","","Multi","","","","","","Small","","","",""
"UPD-DPBFSWBRAHC-7-PNK","","Disney Princess 6pc Girls BFF Fashion Jewelry Hair Accessories Set with Bracelets Ring Hair Clips, Pink, Ages 3+","Disney Princess","","","","","","","","","","","Pink","","","","","","7","","","",""
"4SN-FINGERLINGS-DIARY-10408","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces","","","","","","","","","","","","Purple","","","","","","7.5","","","",""
"4SN-FLYRIBBONS-4PK-44487","","PIC Fly Ribbons Attracts and Traps Flying Insects No Mess No Vapors - 4 Pack","","","","","","","","","","","","","","","","","","4 Pack","","","",""
"4SN-FLYTRAPS-2PK-27804","","PIC Fly Traps Glue Attracts and Traps Flying Insects No Mess No Vapors - 2 Pack","","","","","","","","","","","","","","","","","","2 Pack","","","",""
"4SN-JOJOTOOTHBRUSH-CAP","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap","JoJo Siwa","","","","","","","","","","","","","","bedroom, bathroom","","","Standard","","","",""
"UPD-MINCHARMRING-PNK","","Disney Minnie Mouse Girls Beaded Ring Bracelet Glitter Charm Jewelry Gift","Minnie Mouse","","","dress up, pretend play","","","","","","","","Minnie Mouse","","","bedroom, living room, dining room","","","Small","","","",""
"UPD-MINNIE-FAUXHAIR","","Disney Minnie Mouse Purple Blue Faux Hair Braid Ponytail Extension with Pink Bow Elastic","Minnie Mouse","","","dress up, pretend play","","","","","","","","blue","","","bedroom, living room, dining room","","","small","","","",""
"UPD-TS4EARRINGSET-14PC","","Disney Pixar Toy Story 4 Days of the Week Stick On Earrings and Rings Set","","","","","","","","","","","","Multi","","","","","","Small","","","",""
"UPD-TS4NOTEPEEP-1023670477","","Disney Pixar Toy Story 4 Shaped Spiral Notebook with Pink Pen - Bo Peep","Toy Story; Buzz Lightyear; Woody","","","","","","","","","","","Blue","","","","","","6 x 5.5","","","",""
"4SN-STICKERACTIVITY-CAPUSA","","80pg Avengers Jumbo Coloring & Activity Book","","","","","","","","dimensional","","","","Captain America","","","","","","medium","","","",""
"ABC-RESCGUN-7636","","Kidplokio Camo Rescue Mission Toy Blaster with Lights Sounds Boys Ages 3 and Up","Camo","","","Rescue Mission","","","","","","","","Green","","","","","","13\"" x 7\"" x 1.5\""","","","",""
"ABC-SWATELITESET-DF42218A","","Kidplokio Swat Elite Police Toys Kids Blaster and Cuffs Set Boys Ages 3 and Up","Police","","","Police","","BLK8NBKS","","","","","","Black","","","","","","8 inch","","","",""
"ALI-PARANECK-PARENT","","ASR Outdoor Paracord Necklace Fire Starter Striker Tool (2 Colors and Styles)","","","","","","","","","","","","","","","","","","","","","",""
"SON-DSSWCCPASSWC-625X25-SLVR","","Dual Sided 12pc Wax Clay Carving Pick Spatula Tool Set with Case Arts and Crafts","","","","","","","","","","","","Silver","","","","","","6.25\"" x .25\""","","","",""
"ALUMCASE-CONTAINERS-PARENT-TT","","ToolTreaux Aluminum Jar Storage Tin, 1/2 Oz Container and Display Set","","","","","","","","","","","","","","","","","","","","","",""
"ASR-ADTMGBKC-BUN-12PK-STD-ASSRTD","","12 Pack Bulk Dog Tag Keychain Blank Aluminium Metal Military ID Dog Tags Key Ring","","","","","","","","","","","","","","","","","","Standard","","","",""
"ASR-ALUMINUMDOGMILITARYBLANK","","(6 Pack) Aluminum Dog Tag Military GI Blank Key Chain","","","","","","","","","","","","","","","","","","","","","",""
"ASR-AOCSK-BUN-30PC-8X5-ASSRTD-BNDL","","ASR Outdoor Camping Survival Safety and Emergency Preparedness Kit, 12pc","","","","","","","","","","","","","","","","","","8"" x 5""","","","",""
"ASR-ASROUTDOORGREENGLOW","","(3 Pack) ASR Outdoor Emergency Glow Stick BOB High Visibility Safety Light","","","","","","","","","","","","green","","","","","","","","","",""
"ASR-COTTERPIN-PARENT","","ASR Tactical Replacement Safety Pin for Trip Wire Perimeter Alarm Signal Device (Pin Only)","","","","","","","","","","","","","","","","","","Small","","","",""
"ASR-EDACS-BUN-3PC-MED-BNDL","","Bald Eagle Dagger 3pc American Flag Knife Collector Set","","","","","","","","","","","","3pc Eagle","","","","","","13.5""","","","",""
"ASR-ETB84X-BUN-10PK","","ASR Outdoor Emergency Mylar Outdoor Blanket Insulated Thermal Reflector Camping Gear, 10pk","","","","","","","","","","","","","","","","","","10 Pack","","","",""
"ASR-ETB84X-BUN-24PK-84X52-SLVR","","ASR Outdoor Emergency Mylar Outdoor Blanket Insulated Thermal Reflector, 24pk","","","","","","","","","","","","","","","","","","84"" x 52""","","","",""
"SON-SCSA-21PC-34D1D-SLVR","","20pc Universal Hobby Complete Aluminum Storage Container Set 1 Inch Diameter","","","","","","","","","","","","","","","","","","3/4\"" Deep 1\"" Diameter","","","",""
"SON-MSPT-8LBS","","ASR Outdoor Gold Panning Portable Compact 8lb Magnetic Pickup Tool with Quick Release Rubber Handle - Black","","","","Gold Panning, Metal Detector","","","","Black Sand Magnet","","","","Black","","","","","","8lbs","","","","Camping, Gold Panning"
"SON-ADTMGBKC-SML-ASSRTD","","Aluminum Dog Tags Engraveable Blank Key Chains Military Identification - 1 pc","","","","","","","","","","","","Assorted","","","","","","Small","","","",""
"SON-AOCEP-MED-CLR","","ASR Outdoor Emergency Poncho Clear Polyethylene Rain Gear Camping","","","","","","","","","","","","Clear","","","","","","Medium","","","",""
"SON-HWW8HP-SML-ORNG","","Hand Warmers 8 Hour Protection Heat Pads for Outdoor Activities","","","","","","","","","","","","","","","","","","Small","","","",""
"SON-MSPT-35X9","","Magnetic Separator Pick Up Tool Quality 16 lbs Quick Release Handle - Large","","","","","","","","","","","","Black","","","","","","16lbs","","","",""
"SON-AOPMTSFGP-SML-GRY","","ASR Outdoor 2 Inch Precious Metal Testing Stone for Gold Panning","","","","gold panning, Gardening, Outdoor, Metal Detector","","","","","","","","","","","","","","Small","","","",""
"SON-HAND-TROWEL-ORANGE","","ASR Outdoor - 11 inch Heavy Duty Hand Trowel - Orange","","","","","","","","","","","","Orange","","","","","","4\\\""","","","",""
"SON-CMHN-ONE-CM","","ASR Outdoor Unisex Mosquito Head Net, Insect Repellant Bug Hat for Camping","","","","","","","","","","","","Camo","","","","","","One Size","","","",""
"SON-AO40LWRDS","","ASR Outdoor Ultimate Dry Sack 40L PVC Water Resistant 9 Inch Diamater","","","","","","","","","","","","","","","","","","Medium","","","",""
"SON-HDMETRSB-2PC-LG-SLVRORNG","","ASR Outdoor Reusable Thermal Mylar Emergency Blanket Sleeping Bag Bivvy Sack 40um Thickness","","","","","","","","","","","","","","","","","","36""","","","",""
"SON-SSESM-SML-SLVR","","ASR Outdoor Stainless Steel Emergency Signaling Mirror Camping Hiking Emergency Tool","","","","","","","","","","","","","","","","","","Small","","","",""
"ASR-ETB84X-BUN-4PK-84X52-SLVR","","ASR Outdoor Emergency Winter Blanket Insulated Thermal Reflector 4pk","","","","","","","","","","","","","","","","","","84"" x 52""","","","",""
"ASR-FBPWP-BUN-100PK-SML-BLCK","","Bendable Pen Flexible Ball Point Writing Pen Tool Non Lethal 100pk","","","","","","","","","","","","","","","","","","100 Pack","","","",""
"SHM-SHK-175-SLVR","","Universal Fit Standard Issue Law Enforcement Standard Handcuff Key - 1pk","","","","","","","","","","","","","","","","","","1.75\""","","","",""
"ASR-MEDIUMSIZECARABINERSKEEP","","Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors 6pk","","","","","","","","","","","","","","","","","","","","","",""
"ASR-NONMETALLICHANDCUFFKEY","","Lot of 5 Universal Standard Fit Handcuff Keys Standard Issue Covert Spy","","","","","","","","","","","","Black","","","","","","","","","",""
"SON-EOESPTC-2P-RD","","ASR Outdoor Emergency Essential Survival Pop Tent Canopy for Camping Hiking - Red","","","","","","","","","","","","Red","","","","","","2 Person","","","",""
"SON-UFDSVHVO-29-ORNG","","Universal Safety Disposable Vest High Visibility One Size Fits Most Orange","","","","","","","","","","","","Orange","","","","","","29""","","","",""
"SON-ACCKCSCMS-275-ASSRTD","","Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors","","","","","","","","","","","","","","","","","","2.75""","","","",""
"SON-AO11NUBAP-11-BLCK","","ASR Outdoor 11"" Utility Belt and Pouch Heavy Duty Nylon 3 Pockets Carabiners","","","","","","","","","","","","","","","","","","11""","","","",""
