"sku","parent.sku","name","season","tang_ebay","room","closure_amazon","head_material_type_amazon","hair_type_amazon","size_ebay","skin_type_amazon","blade_type_ebay","compatible_devices_amazon","blade_color_ebay","gender","battery_included_ebay","gun_type_ebay","finish_type_amazon","coarseness","cut","for_gun_make","compatible_model","form","thickness","size_type"
"SON-16FTHVMRNG-16F-NNGRN","SON-MARKINGRIBBON-PARENT","ASR Outdoor Hiking Gear 200ft High Visibility Marking Ribbon, Neon Green","","","","","","","","","","","","","","","","","","","","","",""
"ASR-GRIPREDKEEPSPORTING","CARABINER-JUMBO-PARENT","(2 Pack) ASR Outdoor Jumbo 6.5 Inch XL Key Chain Hand Grip Black and Silver","","","","","","","","","","","","","","","","","","","","","",""
"ASR-MEDIUMSIZECARABINERSKEEP","","Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors 6pk","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-UFDSVHVO-29-ORNG","","Universal Safety Disposable Vest High Visibility One Size Fits Most Orange","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-AOBCP-SML-RD","","Metal Detector Brass Coin Probe","","","","","","","","","","","","Unisex","","","","","","","","","",""
"ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK","","Set of 4 Non-Stick BBQ Grill Mats Reusable Easy to Clean","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-AOUFSVLG-ONE-GRN","","ASR Federal Universal Fit Safety Vest High Visibility Lime Green Reflective","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-BGMN-LG-BLCK","","BBQ Grill Mat Non-Stick Heavy Duty Outdoor Patio Eating and Cooking Tools - 2Pk","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-7IN1SURVIVALWHISTLE-ODGRN","SON-7IN1SURVIVALWHISTLE-PARENT","7 in 1 Survival Whistle Multi-Case with LED Flashlight Compass Mirror - Green","","","","","","","","","","","","","","","","","","","","","",""
"SON-3IN1CUSKFS-3PC-ONE-SLVR","","ASR Outdoor 3pc Camping Utensil Set Military Ration Knife Fork Spoon Accessories","","","","","","","","","","","","Unisex","","","","","","","","","",""
"CARABINER-JUMBO-BLACK","CARABINER-JUMBO-PARENT","ASR Outdoor 6.5 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip - Black","","","","","","","","","","","","","","","","","","","","","",""
"CARABINER-JUMBO-BLUE","CARABINER-JUMBO-PARENT","ASR Outdoor 6.5 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip - Blue","","","","","","","","","","","","","","","","","","","","","",""
"CARABINER-JUMBO-GREEN","CARABINER-JUMBO-PARENT","ASR Outdoor 6.5 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip - Green","","","","","","","","","","","","","","","","","","","","","",""
"CARABINER-JUMBO-PINK","CARABINER-JUMBO-PARENT","ASR Outdoor 6.5 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip - Pink","","","","","","","","","","","","Unisex","","","","","","","","","",""
"CARABINER-JUMBO-SILVER","CARABINER-JUMBO-PARENT","ASR Outdoor 6.5 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip - Silver","","","","","","","","","","","","Unisex","","","","","","","","","",""
"CHAINSAW-SHARPENING-BURR-3-16","","3/16"" File Chain Saw Blade Diamond Sharpening Burr Shank 120 Grit","","","","","","","","","","","","Unisex","","","","120","","","","","",""
"COLLAPSIBLE-WATER-CARRIER-5-GALLON","","ASR Outdoor Collapsible Water Carrier with Handle 5 Gallon Hiking Camping","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-J65XCKCWHGP-XL-PURPLE","","Jumbo 6.5"" XL Carabiner Key Chain  - Purple","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-ABSAS-15PC-A-BLCK","","ToolTreaux Artist Paint Brushes Natural Hair Bristles Wooden Grip Assorted 15pc","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-CEGRKCFFAKOG-11PC-SML-CLR","","Universal Compact Eye Glasses Repair Kit with Screwdriver, 11pc","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-SGSURSB-10PC-11-MTL","","10pc Sterile Surgical Grade Replacement Scalpel Blades Universal Fit - Size 11","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-WBSTAS-28PC-28PC-BRNZ","","28pc Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting","","","","","","","","","","","","unisex","","","","","","","","","",""
"SON-PHWWKS-16PC-STD-BL","","Hobby Knife Precision Set 16pc Exacto Blades Cutting Sculpting Craft Hobby DIY","","","","","","","","","","","","unisex","","","","","","","","","",""
