"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"ASR-BFTOU-BUN-3PK-STD-SLVR","","ASR Outdoor","Silver","China","","BBQ1","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","0.5","11.5","(3) Telescopic BBQ Fork","","0.18","3","BBQ1","","(3 Pack) ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Utensil"
"ASR-EDACS-BUN-3PC-MED-BNDL","","ASR Outdoor","3pc Eagle","China","","ASR-CBEDAG3PC","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","3","14","* (3) Bald Eagle Etched Daggers
* (3) Scabbards with Matching Design","","2.25","9","ASR-CBEDAG3PC","","Bald Eagle Dagger 3pc American Flag Knife Collector Set"
"ASR-ETB84X-BUN-24PK-84X52-SLVR","","ASR Outdoor","Silver","China","","EB_TB3","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Mylar","5","8","(24) Emergency Blankets - 84"" X 52""","","2.4","13","EB_TB3","","ASR Outdoor Emergency Mylar Outdoor Blanket Insulated Thermal Reflector, 24pk"
"SON-B14GRGTGP-14-BLCK","","","Black","China","","gp-10bl-474","","gold panning","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3","15","(1) 14\\\\\\\\\\\\\\\"" Gold Pan","1","0.6","15","gp-10bl-474","","Gold Rush Gravity Trap Gold Pan High Impact Flexible Plastic - BLACK 14 inch"
"SON-AOMDBWSB-17X125-BLCK","","ASR Outdoor","Black","China","","BDBS16","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Polyester","0.75","8.75","*(1) Drawstring Bag with Stopper","","0.15","7.5","BDBS16","","ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches"
"SON-AO125IGPSSFGP-LG-GRN","SON-SANDSCOOPER-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 12.5 Inch Large Sand Scoop Plastic Trowel for Metal Detector Gold Panning, Green"
"SON-MAGNIFYINGTWEEZER-1PK","","ASR Outdoor","Chrome","China","","","","gold panning","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","5","1","(1) Gold Prospecting 4X Magnifying Tweezer","1","0.1","5","ASRMT4X","","ASR Outdoor Gold Rush Gold Panning 4x Magnification Magnifying Tweezers"
"SON-MSPT-8LBS","","ASR Outdoor","Black","China","","","","gold panning","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","2","5.5","(1) Magnetic Pick-Up Tool","1","0.15","4","MSPUT8LBS","MSPUT","ASR Outdoor Gold Panning Portable Compact 8lb Magnetic Pickup Tool with Quick Release Rubber Handle - Black"
"SON-POCKETSLUICEBOX-GRN","","ASR Outdoor","Green","China","","","","Gold Panning","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","TPR","1.25","12","(1) ASR Outdoor Pocket-sized Gold Sluice Box","","0.46","5.5","ASROPGSBGRN2","","ASR Outdoor Pocket Mini Sluice Box for Gold Panning 3 Riffle TPR Rubber Groove Mat, 12"""
"SON-AO8IBGRGTGP-8-BLCK1","SON-GOLDMININGPAN-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 8 inch Gold Pan with Dual Riffles for Gold Prospecting, Black"
"SON-G10GRGTGP-10-GRN","SON-10GOLDRUSHPAN-PARENT","","","","","","","","","","","","","","","","","","","","","","","Green 10"" Gold Rush Gravity Trap Gold Pan - High Impact Flexible Plastic"
"SON-ADTMGBKC-SML-ASSRTD","","ASR Outdoor","Multi-Color","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","2","(1) Assorted Aluminum Dog Tag Key Chains","1","0.1","1","122DT12-1","","Aluminum Dog Tags Engraveable Blank Key Chains Military Identification - 1 pc"
"SON-GRCSS10HPSI-6-GRN","SON-GRC-PAN-PARENT-2","","","","","","","","","","","","","","","","","","","","","","","Gold Rush Sifting Classifier Sieve Mini 6 Inch Prospect Pan 10 Holes per Sq Inch"
