Date,Clicks,Impressions,CTR,Position
2026-06-21,45,4642,0.97%,9.4
2026-06-22,44,4029,1.09%,8.9
2026-06-23,33,3408,0.97%,9.6
2026-06-24,41,3304,1.24%,10.4
2026-06-25,38,3158,1.2%,9.8
2026-06-26,37,3130,1.18%,9.4
2026-06-27,42,3668,1.15%,9.7
