category_id,category_name,upc_essential
879,Telephone,NO
13586,Other Comm & Utility Ads,NO
165213,Phonographs,NO
165214,Telegraph & Telegram,NO
818,Other Dairy Advertisements,NO
35663,Advertising-Print,NO
35664,Bottle Caps,NO
35665,Posters & Prints,NO
35666,Signs & Plaques,NO
40035,Bottles & Containers,NO
40036,Pins & Buttons,NO
822,Jack Daniel’s,NO
823,Jim Beam,NO
825,Old Crow,NO
3882,Scotch,NO
3883,Wild Turkey,NO
4270,Irish,NO
7175,Seagram’s,NO
10798,Absolut,NO
10799,Canadian Club,NO
10800,Johnnie Walker,NO
26262,Bacardi,NO
26263,Smirnoff,NO
32721,Baileys,NO
32722,Southern Comfort,NO
35654,Captain Morgan,NO
35655,Dewar’s,NO
821,Other Distillery Memorabilia,NO
35657,Advertising-Print,NO
35658,"Bottles, Decanters & Jugs",NO
35659,Glasses,NO
35660,Shirts & Hats,NO
35661,Signs,NO
35662,Tins,NO
165222,Beefeater,NO
165223,Canadian Mist,NO
165224,Crown Royal,NO
165225,Drambuie,NO
165226,Fleischmann,NO
165227,Gilbey’s,NO
165228,Haig & Haig,NO
165229,Jagermeister,NO
165230,Jose Cuervo,NO
165231,Old Forester,NO
165232,Paul Jones,NO
165233,Tanqueray,NO
165234,Other Distillery Ads,NO
167974,Ezra Brooks,NO
873,Other Candy & Nuts Ads,NO
874,M&M's,NO
3894,Planters Nuts,NO
10782,Cracker Jack,NO
10783,Hershey & Reese’s,NO
10784,Life Savers,NO
20990,Ferrero & Kinder,NO
35645,Chewing Gum,NO
165216,Brach’s,NO
165217,Merchandise & Memorabilia,NO
878,Soup,NO
1526,Other Food & Beverage Ads,NO
1322,Other Cereal Advertisements,NO
10786,General Mills,NO
10787,Kellogg,NO
10788,Nabisco,NO
10789,Post,NO
10790,Quaker,NO
165235,Cream of Wheat,NO
165236,Merchandise & Memorabilia,NO
865,Other Coffee & Tea Ads,NO
10794,Maxwell House,NO
10795,Starbucks,NO
13584,Lipton,NO
165218,Folger’s,NO
165219,Nescafe,NO
165220,Tim Horton’s,NO
165221,Merchandise & Memorabilia,NO
1321,Other Bakery & Baking Ads,NO
13589,Baking Powder,NO
13590,Flour,NO
20165,Bread,NO
20166,Cakes & Doughnuts,NO
20167,"Cookies, Crackers & Pretzels",NO
21091,Cocoa & Baking Chocolate,NO
165215,Merchandise & Memorabilia,NO
21099,Spices & Extracts,NO
21102,Pickles & Condiments,NO
21103,Pancakes & Syrup,NO
21104,"Jam, Jelly & Peanut Butter",NO
21105,Fruit & Raisins,NO
50710,Gelatin & Jell-O,NO
165237,Energy Drinks,NO
165239,Advertising-Print,NO
165240,Labels,NO
165241,Signs,NO
165242,Other Wine Advertisements,NO
876,Soap & Detergent,NO
1527,Other Household Ads,NO
13596,Appliances,NO
21098,Paint & Varnish,NO
165252,Furniture,NO
165253,Home Décor,NO
1525,Drugstores,NO
3893,Other Retail Store Ads,NO
13599,Department Stores,NO
165256,Grocery Stores,NO
165257,Home Improvement Stores,NO
863,Other Tire Advertisements,NO
13618,B.F. Goodrich,NO
13619,Goodyear,NO
13620,Firestone,NO
13621,Michelin,NO
35,Other Merch & Memorabilia Ads,NO
796,Characters & Dolls,NO
797,Clocks,NO
798,Store Displays,NO
799,Labels,NO
800,"Premiums, Prizes & Charms",NO
801,Tins,NO
803,Trays,NO
10797,Mannequins,NO
10805,Reproduction,NO
804,1970-Now,NO
10806,1930-69,NO
37841,Pre-1930,NO
12505,Blotters,NO
12506,Thermometers,NO
13624,Calendars,NO
13625,Mirrors,NO
21147,Mugs & Cups,NO
21148,Fans,NO
37829,Pre-1900,NO
37830,1900-09,NO
37831,1910-19,NO
37832,1920-29,NO
37833,1930-39,NO
37834,1940-49,NO
37835,1950-59,NO
37836,1960-69,NO
37837,1970-79,NO
37838,1980-89,NO
37839,1990-Now,NO
802,Other Victorian Trade Cards,NO
37843,Coffee & Tea,NO
37844,Sewing Machines,NO
37845,Shoes & Boots,NO
50712,Soap,NO
73471,Plates,NO
18789,eBayana,NO
21092,Computers & High Tech,NO
21097,Pets,NO
13597,Other Health & Beauty Ads,NO
21137,Cosmetics & Hair Care,NO
21138,Medicine & First Aid,NO
21139,Perfume & Cologne,NO
21140,Talcum & Bath Powder,NO
21141,Shaving & Razors,NO
165254,Jewelry & Watches,NO
165255,Musical Instruments,NO
165266,Other Collectible Ads,NO
27173,Other Hotel & Motel Ads,NO
170069,Advertising-Print,NO
170070,Dinnerware & Serving Pieces,NO
170071,Luggage Labels,NO
170072,Room Keys,NO
171180,Price Guides & Publications,NO
3984,Original Comic Art,YES
259109,Single Volumes,YES
259110,Doujinshis,YES
259111,Manga Magazines,YES
99961,Price & Buyers' Guides,NO
144062,Artbooks,YES
151093,Other Comic Books & Memorabilia,YES
259104,Comics & Graphic Novels,YES
259105,Comic Strips,YES
121889,Comics & Graphic Novels,YES
259107,Comic Strips,YES
259113,Other Comic Book Traditions,YES
259114,Magazines,YES
259115,Fan Clubs & Zines,YES
80,Figurines,YES
60017,Cosplay Costumes & Accs,YES
82498,Wall Art & Posters,YES
259117,Keyrings,YES
259118,Badges & Pins,YES
259119,Glasses & Mugs,YES
259120,Coasters,YES
259122,Calendars,YES
259123,Mouse Pads,YES
259124,Decals & Stickers,YES
259125,Props & Replicas,YES
259126,Other Merchandise & Memorabilia,YES
259128,Storage Bags,YES
259129,Storage Boxes,YES
259130,Holders,YES
259131,Comic Book Boards,YES
259132,Display Frames,YES
259133,Dividers,YES
259134,Other Comic Book Supplies,YES
114,Other Sewing Collectibles,NO
605,Machines,NO
1465,Pin Cushions,NO
606,Other Vintage Sewing Patterns,NO
4158,Children,NO
4159,Accessories,NO
4160,Men,NO
4161,Women,NO
38057,"Dolls, Toys, Animals",NO
14083,Spools & Thread,NO
14084,Transfers,NO
38054,Foot Pedals,NO
38055,Manuals & Books,NO
38056,Needles & Cases,NO
38058,Baskets & Boxes,NO
38059,Sewing Kits,NO
116,Other Vintage Thimbles,NO
38061,Bone,NO
38062,Gold,NO
38063,Pewter,NO
38064,Porcelain,NO
38065,"Silver, Sterling",NO
38066,Lots,NO
156534,Glass,NO
156535,Wood,NO
156536,Mixed Material,NO
156537,Thimble Holders,NO
156538,Thimble Displays,NO
38067,"Tools, Scissors & Measures",NO
115,Other Vintage Sewing Buttons,NO
41193,Ceramic,NO
41194,Glass,NO
41195,Metal,NO
41196,"Pearl, Shell",NO
41197,Plastic,NO
41198,Mixed Lots,NO
156533,Bakelite,NO
165798,Vegetable Ivory,NO
165799,Wood,NO
171200,Price Guides & Publications,NO
125,Other Paper Collectibles,NO
1437,Menus,NO
1438,Playing Cards,NO
1440,Scrapbooks,NO
4089,Blotters,NO
3899,Vintage (Pre-1970),NO
4948,Contemporary (1970-Now),NO
