category_id,category_path,listing_count
181408,"Sporting Goods|Camping & Hiking|Water Bottles & Hydration|Canteens, Bottles & Flasks",4
39057,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Knives & Blades",4
181409,"Sporting Goods|Camping & Hiking|Water Bottles & Hydration|Water Carriers",4
159151,"Sporting Goods|Water Sports|Other Water Sports",4
181390,"Sporting Goods|Camping & Hiking|Camping Storage",4
3142,"Home & Garden|School Supplies|Other School Supplies",3
2996,"Clothing, Shoes & Accessories|Men|Men's Accessories|Wallets",3
116005,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Sharpeners",3
1187,"Toys & Hobbies|Robots, Monsters & Space Toys|Space Toys|1970-Now",3
183295,"Crafts|Sewing|Measuring Tools|Measuring Tapes",3
28108,"Crafts|Art Supplies|Drawing & Lettering Supplies|Art Pencils & Charcoal",3
159092,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Other Camping Lights",3
50380,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Punches",3
181414,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Safety Whistles",3
117141,"Sporting Goods|Outdoor Sports|Air Guns & Slingshots|Slingshots",3
27363,"Sporting Goods|Camping & Hiking|Hiking Gear|Other Hiking Gear",3
183124,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Glue Guns & Sticks",3
104229,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Scalpels, Surgical Blades & Handles",3
183319,"Crafts|Sculpting, Molding & Ceramics|Other Sculpting Supplies",3
50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",3
183080,"Crafts|Art Supplies|Collage Supplies",3
109492,"Business & Industrial|Fasteners & Hardware|Clamps, Ties & Cords|Shock Cords & Bungees",3
28109,"Crafts|Art Supplies|Drawing & Lettering Supplies|Art Pens & Markers",3
63505,"Home & Garden|Kitchen, Dining & Bar|Bar Tools & Accessories|Flasks",3
169271,"Clothing, Shoes & Accessories|Men|Men's Accessories|ID & Document Holders",3
183175,"Crafts|Multi-Purpose Craft Supplies|Crafting Tools|Cutting Tools|Cutting Mats",3
19017,"Toys & Hobbies|Outdoor Toys & Structures|Balls, Flying Discs & Boomerangs",3
52357,"Clothing, Shoes & Accessories|Men|Men's Accessories|Bags",3
65965,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Insect Nets",3
75234,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Hatchets & Axes",3
40659,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Other Shoe Care & Repair",3
75564,"Crafts|Multi-Purpose Craft Supplies|Other Multi-Purpose Crafting",3
75669,"Home & Garden|Yard, Garden & Outdoor Living|Garden Clothing & Protective Gear|Garden Kneelers, Cushions & Seats",3
28133,"Crafts|Leathercrafts|Leathercraft Tools|Other Leather Tools",3
168867,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Lanterns",3
180924,"Health & Beauty|Bath & Body|Body Soaps",3
109514,"Business & Industrial|Facility Maintenance & Safety|Public Safety Staff Equipment|Police & Turnout Gear|Police & Security Handcuffs",3
19171,"Toys & Hobbies|Preschool Toys & Pretend Play|Dishes, Tea Sets",3
109677,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Safety Vests",3
11873,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Polish & Powders|Nail Polish",2
3186,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Other Garden Hand Tools & Equipment",2
25846,"Home & Garden|Kitchen, Dining & Bar|Bakeware|Other Bakeware & Ovenware",2
86174,"Business & Industrial|Material Handling|Packing & Shipping|Packing & Shipping Bags|Reclosable & Zipper Bags",2
20702,"Home & Garden|Lamps, Lighting & Ceiling Fans|Night Lights",2
156462,"Collectibles|Militaria|Current Militaria (2001-Now)|Original Items|Personal, Field Gear|Dog Tags",2
52510,"Sporting Goods|Hunting|Scopes, Optics & Lasers|Scope Mounts & Accessories",2
159183,"Sporting Goods|Winter Sports|Skiing, Snowboarding & Snowshoeing|Accessories|Hand & Foot Warmers",2
261186,"Books & Magazines|Books",2
183161,"Crafts|Home Arts & Crafts|Woodworking|Other Woodworking Supplies",2
177849,"Sporting Goods|Cycling|Car & Truck Racks",2
170091,"Home & Garden|Holiday & Seasonal Décor|Stockings & Hangers",2
100237,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Other Camping Knives & Tools",2
