category_id,category_path,listing_count,upc_support,ean_support,isbn_support
159092,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Other Camping Lights",3,REQUIRED,DISABLED,DISABLED
180924,"Health & Beauty|Bath & Body|Body Soaps",3,ENABLED,DISABLED,DISABLED
181414,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Safety Whistles",3,ENABLED,DISABLED,DISABLED
117141,"Sporting Goods|Outdoor Sports|Air Guns & Slingshots|Slingshots",3,ENABLED,DISABLED,DISABLED
27363,"Sporting Goods|Camping & Hiking|Hiking Gear|Other Hiking Gear",3,REQUIRED,DISABLED,DISABLED
183124,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Glue Guns & Sticks",3,REQUIRED,DISABLED,DISABLED
183080,"Crafts|Art Supplies|Collage Supplies",3,ENABLED,DISABLED,DISABLED
28108,"Crafts|Art Supplies|Drawing & Lettering Supplies|Art Pencils & Charcoal",3,ENABLED,DISABLED,DISABLED
109492,"Business & Industrial|Fasteners & Hardware|Clamps, Ties & Cords|Shock Cords & Bungees",3,ENABLED,DISABLED,DISABLED
183175,"Crafts|Multi-Purpose Craft Supplies|Crafting Tools|Cutting Tools|Cutting Mats",3,REQUIRED,DISABLED,DISABLED
19017,"Toys & Hobbies|Outdoor Toys & Structures|Balls, Flying Discs & Boomerangs",3,ENABLED,DISABLED,DISABLED
3142,"Home & Garden|School Supplies|Other School Supplies",3,REQUIRED,DISABLED,DISABLED
109677,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Safety Vests",3,ENABLED,DISABLED,DISABLED
75564,"Crafts|Multi-Purpose Craft Supplies|Other Multi-Purpose Crafting",3,ENABLED,DISABLED,DISABLED
183295,"Crafts|Sewing|Measuring Tools|Measuring Tapes",3,ENABLED,DISABLED,DISABLED
40659,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Other Shoe Care & Repair",3,ENABLED,DISABLED,DISABLED
104229,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Scalpels, Surgical Blades & Handles",3,ENABLED,DISABLED,DISABLED
