item_id,sku,child_item_id,match_method,total_images,unique_images,shared_with_parent_images
127752367320,DOY-ASRO-14PCGEMSTONEPAYDIRTKIT-BRZ-AMZ,v1|127752367320|428927535698,aspect_match,3,3,0
127752367320,DOY-ASRO-14PCGEMSTONEPAYDIRTKIT-MGD-AMZ,v1|127752367320|428927535699,aspect_match,3,3,0
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-BRZ-LRG-AMZ,v1|127752367320|428927535702,aspect_match,1,1,0
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-BRZ-SMG-AMZ,v1|127752367320|428927535700,aspect_match,1,1,0
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-MGD-LRG-AMZ,v1|127752367320|428927535703,aspect_match,1,1,0
127752367320,DOY-ASRO-20PCGEMPAYDIRTKIT-MGD-SMG-AMZ,v1|127752367320|428927535701,aspect_match,4,4,0
127752367320,DOY-ASRO-BRZGEMSTONEPAYDIRT-5LB-AMZ,v1|127752367320|428927535696,aspect_match,5,5,0
127752367320,DOY-ASRO-MDGRGEMSTONEPAYDIRT-5LB-AMZ,v1|127752367320|428927535697,aspect_match,4,4,0
235392003566,SON-MINISLUICEBKTKIT-ALUM-20PC,v1|235392003566|536693992335,aspect_match,1,1,0
235392003566,SON-MINISLUICEBKTKIT-RUB-20PC,v1|235392003566|536693992334,aspect_match,1,1,0
364899577169,TWL-TCSR1200LB-500FT-BLCK,v1|364899577169|635463246063,aspect_match,1,1,0
364899577169,TWL-TCSR1200LBBS-1000FT-TAN,v1|364899577169|635463246069,aspect_match,6,6,0
364899577169,TWL-TCSR1200LBBS-100FT-TAN,v1|364899577169|635463246067,aspect_match,6,6,0
364899577169,TWL-TCSR1200LBBS-25FT-BLCK-BUN,v1|364899577169|635463246060,aspect_match,1,1,0
364899577169,TWL-TCSR1200LBBS-25FT-TAN,v1|364899577169|635463246065,aspect_match,6,6,0
364899577169,TWL-TCSR1200LBBS-500FT-TAN,v1|364899577169|635463246068,aspect_match,6,6,0
364899577169,TWL-TCSR1200LBBS-50FT-TAN,v1|364899577169|635463246066,aspect_match,6,6,0
